Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2021-01-01,-1,750,Ю 4м/с,-1,750,Ю 4м/с
2021-01-02,-1,749,Ю 2м/с,+1,752,Ю 2м/с
2021-01-03,0,759,З 1м/с,0,759,З 1м/с
2021-01-04,-3,758,Ю 2м/с,-3,758,Ю 2м/с
2021-01-05,-3,758,Ю 2м/с,-3,757,Ю 2м/с
2021-01-06,-6,754,Ю 2м/с,-10,753,Ю 2м/с
2021-01-07,-4,750,Ш,-4,749,Ш
2021-01-08,0,743,СВ 2м/с,0,743,СВ 2м/с
2021-01-09,-1,743,СВ 2м/с,-2,743,СВ 2м/с
2021-01-10,-6,746,СЗ 2м/с,-8,748,СЗ 2м/с
2021-01-11,-8,750,СЗ 1м/с,-9,750,СЗ 1м/с
2021-01-12,-10,752,Ш,-11,752,Ш
2021-01-13,-11,750,В 2м/с,-13,746,В 2м/с
2021-01-14,-7,737,СВ 1м/с,-11,740,СВ 1м/с
2021-01-15,-12,743,С 1м/с,-12,742,С 1м/с
2021-01-16,-14,737,СЗ 2м/с,-16,738,СЗ 2м/с
2021-01-17,-19,746,С 1м/с,-23,748,С 1м/с
2021-01-18,-20,749,СЗ 1м/с,-20,749,СЗ 1м/с
2021-01-19,-17,747,З 1м/с,-18,748,З 1м/с
2021-01-20,-9,749,З 2м/с,-8,751,З 2м/с
2021-01-21,-12,746,Ю 6м/с,-9,745,Ю 6м/с
2021-01-22,-2,745,ЮЗ 3м/с,-2,746,ЮЗ 3м/с
2021-01-23,1,745,Ю 3м/с,+1,746,Ю 3м/с
2021-01-24,2,747,ЮВ 3м/с,+2,748,ЮВ 3м/с
2021-01-25,2,748,Ю 4м/с,0,747,Ю 4м/с
2021-01-26,1,743,ЮВ 5м/с,+2,743,ЮВ 5м/с
2021-01-27,1,743,Ю 4м/с,+1,742,Ю 4м/с
2021-01-28,1,740,ЮВ 4м/с,-1,739,ЮВ 4м/с
2021-01-29,0,734,Ю 4м/с,-2,734,Ю 4м/с
2021-01-30,-3,735,Ю 5м/с,-4,737,Ю 5м/с
2021-01-31,-2,729,З 3м/с,-4,736,З 3м/с
2021-02-01,-6,746,Ю 3м/с,-10,746,Ю 3м/с
2021-02-02,-8,749,Ш,-14,750,Ш
2021-02-03,-5,744,Ю 2м/с,-2,742,Ю 2м/с
2021-02-04,1,738,Ю 1м/с,0,736,Ю 1м/с
2021-02-05,-10,740,СЗ 4м/с,-11,741,СЗ 4м/с
2021-02-06,-14,740,СЗ 3м/с,-18,742,СЗ 3м/с
2021-02-07,-13,744,З 3м/с,-15,745,З 3м/с
2021-02-08,-16,752,ЮЗ 2м/с,-18,753,ЮЗ 2м/с
2021-02-09,-14,751,В 2м/с,-14,747,В 2м/с
2021-02-10,-12,748,В 2м/с,-13,748,В 2м/с
2021-02-11,-12,748,СВ 1м/с,-12,749,СВ 1м/с
2021-02-12,-11,741,СВ 4м/с,-12,740,СВ 4м/с
2021-02-13,-12,740,Ю 4м/с,-18,740,Ю 4м/с
2021-02-14,-13,743,З 3м/с,-19,745,З 3м/с
2021-02-15,-15,753,СЗ 3м/с,-21,754,СЗ 3м/с
2021-02-16,-15,753,Ю 3м/с,-17,752,Ю 3м/с
2021-02-17,-12,747,Ю 3м/с,-13,747,Ю 3м/с
2021-02-18,-14,751,СЗ 2м/с,-19,752,СЗ 2м/с
2021-02-19,-14,752,З 2м/с,-14,752,З 2м/с
2021-02-20,-9,755,З 1м/с,-11,755,З 1м/с
2021-02-21,-8,751,Ю 2м/с,-9,749,Ю 2м/с
2021-02-22,-13,755,С 2м/с,-18,760,С 2м/с
2021-02-23,-19,767,СЗ 2м/с,-24,768,СЗ 2м/с
2021-02-24,-16,762,ЮВ 3м/с,-16,759,ЮВ 3м/с
2021-02-25,1,746,З 3м/с,+2,746,З 3м/с
2021-02-26,4,738,З 4м/с,+4,737,З 4м/с
2021-02-27,-3,741,СЗ 4м/с,-4,744,СЗ 4м/с
2021-02-28,-2,747,С 2м/с,-3,749,С 2м/с
2021-03-01,1,753,ЮЗ 2м/с,-1,749,ЮЗ 2м/с
2021-03-02,4,741,СЗ 3м/с,0,742,СЗ 3м/с
2021-03-03,2,746,З 4м/с,0,744,З 4м/с
2021-03-04,3,736,ЮЗ 2м/с,-2,736,ЮЗ 2м/с
2021-03-05,-1,743,ЮЗ 3м/с,-8,745,ЮЗ 3м/с
2021-03-06,-3,747,СЗ 2м/с,-9,746,СЗ 2м/с
2021-03-07,-3,734,ЮЗ 5м/с,-4,731,ЮЗ 5м/с
2021-03-08,-4,737,З 4м/с,-8,741,З 4м/с
2021-03-09,-9,746,СЗ 3м/с,-13,749,СЗ 3м/с
2021-03-10,-14,755,СЗ 3м/с,-17,756,СЗ 3м/с
2021-03-11,-9,758,З 2м/с,-17,756,З 2м/с
2021-03-12,-8,754,Ю 4м/с,-9,751,Ю 4м/с
2021-03-13,-5,748,Ю 6м/с,-4,748,Ю 6м/с
2021-03-14,0,746,Ю 5м/с,+2,746,Ю 5м/с
2021-03-15,1,745,Ю 5м/с,+1,747,Ю 5м/с
2021-03-16,4,749,Ю 4м/с,+1,749,Ю 4м/с
2021-03-17,-1,745,В 3м/с,-2,744,В 3м/с
2021-03-18,0,742,ЮЗ 2м/с,-2,743,ЮЗ 2м/с
2021-03-19,3,745,С 3м/с,0,746,С 3м/с
2021-03-20,0,746,З 4м/с,-5,745,З 4м/с
2021-03-21,0,739,ЮЗ 5м/с,-3,737,ЮЗ 5м/с
2021-03-22,1,737,ЮЗ 3м/с,-1,739,ЮЗ 3м/с
2021-03-23,3,743,С 3м/с,-1,746,С 3м/с
2021-03-24,4,750,СЗ 3м/с,-3,750,СЗ 3м/с
2021-03-25,6,749,З 2м/с,+1,748,З 2м/с
2021-03-26,8,748,СЗ 2м/с,+3,749,СЗ 2м/с
2021-03-27,8,751,З 2м/с,+3,752,З 2м/с
2021-03-28,6,755,С 4м/с,+1,756,С 4м/с
2021-03-29,7,761,В 2м/с,-1,761,В 2м/с
2021-03-30,5,761,Ю 4м/с,+2,758,Ю 4м/с
2021-03-31,2,750,ЮЗ 4м/с,+2,749,ЮЗ 4м/с
2021-04-01,5,744,Ю 3м/с,+5,743,Ю 3м/с
2021-04-02,2,738,СЗ 2м/с,+1,740,СЗ 2м/с
2021-04-03,5,741,СЗ 1м/с,-1,743,СЗ 1м/с
2021-04-04,7,743,ЮЗ 3м/с,+1,743,ЮЗ 3м/с
2021-04-05,8,741,Ю 4м/с,+4,740,Ю 4м/с
2021-04-06,9,740,Ю 5м/с,+6,741,Ю 5м/с
2021-04-07,10,740,Ю 5м/с,+6,735,Ю 5м/с
2021-04-08,4,740,З 5м/с,+1,746,З 5м/с
