Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2010-01-01,-11,738,С 2м/с,-11,739,С 2м/с
2010-01-02,-8,739,СВ 2м/с,-9,737,СВ 2м/с
2010-01-03,-16,738,С 5м/с,-20,740,С 5м/с
2010-01-04,-19,746,Ю 2м/с,-21,748,Ю 2м/с
2010-01-05,-15,754,ЮЗ 2м/с,-19,755,ЮЗ 2м/с
2010-01-06,-15,758,Ю 1м/с,-16,758,Ю 1м/с
2010-01-07,-11,754,Ю 6м/с,-11,753,Ю 6м/с
2010-01-08,-8,751,Ю 2м/с,-4,754,Ю 2м/с
2010-01-09,-6,759,СЗ 1м/с,-9,760,СЗ 1м/с
2010-01-10,-15,761,С 2м/с,-18,761,С 2м/с
2010-01-11,-18,758,З 1м/с,-20,757,З 1м/с
2010-01-12,-9,754,Ш,-16,752,Ш
2010-01-13,-10,749,С 1м/с,-9,750,С 1м/с
2010-01-14,-10,754,С 1м/с,-11,755,С 1м/с
2010-01-15,-11,758,Ш,-12,760,Ш
2010-01-16,-11,769,В 1м/с,-12,770,В 1м/с
2010-01-17,-17,772,ЮЗ 1м/с,-22,772,ЮЗ 1м/с
2010-01-18,-16,771,Ш,-23,770,Ш
2010-01-19,-21,767,Ш,-21,767,Ш
2010-01-20,-13,767,СВ 1м/с,-14,767,СВ 1м/с
2010-01-21,-15,768,С 3м/с,-19,768,С 3м/с
2010-01-22,-18,766,С 2м/с,-20,766,С 2м/с
2010-01-23,-21,763,С 2м/с,-23,762,С 2м/с
2010-01-24,-20,759,СЗ 2м/с,-24,759,СЗ 2м/с
2010-01-25,-20,760,З 1м/с,-23,761,З 1м/с
2010-01-26,-20,760,С 2м/с,-22,761,С 2м/с
2010-01-27,-20,760,СЗ 1м/с,-21,757,СЗ 1м/с
2010-01-28,-15,747,ЮЗ 1м/с,-20,745,ЮЗ 1м/с
2010-01-29,-15,742,Ю 3м/с,-13,741,Ю 3м/с
2010-01-30,-11,742,З 1м/с,-17,745,З 1м/с
2010-01-31,-10,750,ЮВ 3м/с,-8,749,ЮВ 3м/с
2010-02-01,0,746,ЮВ 6м/с,-1,745,ЮВ 6м/с
2010-02-02,-4,746,ЮВ 4м/с,-4,745,ЮВ 4м/с
2010-02-03,-5,754,В 2м/с,-5,755,В 2м/с
2010-02-04,-8,764,ЮВ 3м/с,-12,767,ЮВ 3м/с
2010-02-05,-10,770,Ю 3м/с,-14,769,Ю 3м/с
2010-02-06,-8,767,Ш,-16,765,Ш
2010-02-07,-11,763,Ю 2м/с,-13,761,Ю 2м/с
2010-02-08,-12,758,ЮВ 2м/с,-11,756,ЮВ 2м/с
2010-02-09,-7,755,Ю 4м/с,-8,755,Ю 4м/с
2010-02-10,-12,759,Ю 4м/с,-11,760,Ю 4м/с
2010-02-11,-11,764,Ю 5м/с,-14,765,Ю 5м/с
2010-02-12,-13,766,Ю 3м/с,-12,764,Ю 3м/с
