Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2023-01-01,2,741,ЮЗ 3м/с,+3,739,ЮЗ 3м/с
2023-01-02,1,747,З 3м/с,-2,749,З 3м/с
2023-01-03,1,739,Ю 2м/с,+3,738,Ю 2м/с
2023-01-04,-3,746,СЗ 3м/с,-3,746,СЗ 3м/с
2023-01-05,-3,739,З 1м/с,-6,739,З 1м/с
2023-01-06,-19,749,С 2м/с,-22,751,С 2м/с
2023-01-07,-22,757,СЗ 2м/с,-23,758,СЗ 2м/с
2023-01-08,-13,758,СЗ 2м/с,-17,760,СЗ 2м/с
2023-01-09,-17,764,В 1м/с,-20,765,В 1м/с
2023-01-10,-15,767,ЮВ 4м/с,-17,768,ЮВ 4м/с
2023-01-11,-14,766,Ю 3м/с,-13,764,Ю 3м/с
2023-01-12,-9,759,Ю 5м/с,-7,758,Ю 5м/с
2023-01-13,-5,755,Ю 5м/с,-5,756,Ю 5м/с
2023-01-14,-4,756,Ю 4м/с,-4,756,Ю 4м/с
2023-01-15,-5,755,Ю 3м/с,-5,755,Ю 3м/с
2023-01-16,-4,750,Ю 3м/с,-4,750,Ю 3м/с
2023-01-17,0,750,Ю 4м/с,-1,750,Ю 4м/с
2023-01-18,0,751,ЮВ 5м/с,-1,752,ЮВ 5м/с
2023-01-19,-1,752,Ю 4м/с,0,752,Ю 4м/с
2023-01-20,1,755,Ю 5м/с,-2,757,Ю 5м/с
2023-01-21,-3,761,ЮВ 3м/с,-6,761,ЮВ 3м/с
2023-01-22,-4,764,В 1м/с,-5,765,В 1м/с
2023-01-23,-2,767,Ю 1м/с,-7,767,Ю 1м/с
2023-01-24,-7,764,ЮЗ 1м/с,-11,762,ЮЗ 1м/с
2023-01-25,-4,758,Ю 2м/с,-2,757,Ю 2м/с
2023-01-26,-5,753,ЮЗ 3м/с,-6,753,ЮЗ 3м/с
2023-01-27,-3,752,З 2м/с,-3,753,З 2м/с
2023-01-28,-2,753,ЮЗ 1м/с,-3,752,ЮЗ 1м/с
2023-01-29,-6,747,ЮЗ 3м/с,-7,746,ЮЗ 3м/с
2023-01-30,-2,739,Ю 4м/с,-3,737,Ю 4м/с
2023-01-31,-2,740,Ю 5м/с,-2,740,Ю 5м/с
2023-02-01,-2,742,Ю 2м/с,-2,743,Ю 2м/с
2023-02-02,-1,743,Ю 3м/с,-2,744,Ю 3м/с
2023-02-03,0,744,Ю 2м/с,0,745,Ю 2м/с
2023-02-04,0,749,Ю 3м/с,-2,752,Ю 3м/с
2023-02-05,-2,755,С 1м/с,-3,755,С 1м/с
2023-02-06,-3,758,С 2м/с,-5,760,С 2м/с
2023-02-07,-5,766,С 2м/с,-12,767,С 2м/с
2023-02-08,-6,765,З 3м/с,-6,763,З 3м/с
2023-02-09,-2,761,Ш,-3,761,Ш
2023-02-10,-2,752,Ю 6м/с,-3,750,Ю 6м/с
2023-02-11,-2,748,ЮЗ 4м/с,-3,744,ЮЗ 4м/с
2023-02-12,-3,744,С 6м/с,-5,749,С 6м/с
2023-02-13,-4,745,ЮЗ 2м/с,-2,741,ЮЗ 2м/с
2023-02-14,1,741,С 3м/с,-1,745,С 3м/с
2023-02-15,-2,750,С 4м/с,-4,753,С 4м/с
2023-02-16,-6,753,С 2м/с,-7,754,С 2м/с
2023-02-17,-3,753,В 1м/с,-5,752,В 1м/с
2023-02-18,-4,743,Ю 4м/с,-7,740,Ю 4м/с
2023-02-19,-6,735,ЮВ 2м/с,-7,734,ЮВ 2м/с
2023-02-20,-4,733,С 1м/с,-8,734,С 1м/с
2023-02-21,-10,730,С 2м/с,-14,734,С 2м/с
2023-02-22,-13,741,СЗ 4м/с,-14,744,СЗ 4м/с
2023-02-23,-9,748,СЗ 3м/с,-12,749,СЗ 3м/с
2023-02-24,-6,741,Ю 4м/с,-4,740,Ю 4м/с
2023-02-25,0,737,Ю 5м/с,+1,737,Ю 5м/с
2023-02-26,3,737,ЮЗ 5м/с,+1,740,ЮЗ 5м/с
2023-02-27,-2,749,З 4м/с,-4,752,З 4м/с
2023-02-28,-2,744,З 4м/с,-2,741,З 4м/с
2023-03-01,-2,743,СЗ 4м/с,-4,743,СЗ 4м/с
2023-03-02,-3,743,З 4м/с,-4,741,З 4м/с
2023-03-03,2,737,З 3м/с,-1,738,З 3м/с
2023-03-04,1,732,Ю 4м/с,-1,729,Ю 4м/с
2023-03-05,-2,731,ЮЗ 4м/с,-1,734,ЮЗ 4м/с
2023-03-06,-1,737,ЮЗ 4м/с,-5,739,ЮЗ 4м/с
2023-03-07,-1,741,Ю 5м/с,-3,737,Ю 5м/с
2023-03-08,-2,740,ЮВ 2м/с,0,735,ЮВ 2м/с
2023-03-09,3,736,Ю 3м/с,0,734,Ю 3м/с
2023-03-10,-3,740,СЗ 4м/с,-9,744,СЗ 4м/с
2023-03-11,-3,743,В 3м/с,+1,739,В 3м/с
2023-03-12,6,726,ЮВ 5м/с,-3,734,ЮВ 5м/с
2023-03-13,0,747,ЮЗ 4м/с,-3,749,ЮЗ 4м/с
2023-03-14,4,747,Ю 8м/с,+3,748,Ю 8м/с
2023-03-15,4,749,Ю 4м/с,+3,748,Ю 4м/с
2023-03-16,2,746,Ю 1м/с,+1,747,Ю 1м/с
