Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2004-01-01,-4,750,Ю 2м/с,-4,748,Ю 2м/с
2004-01-02,-2,747,Ю 2м/с,-2,747,Ю 2м/с
2004-01-03,-2,746,В 2м/с,-1,744,В 2м/с
2004-01-04,-3,744,ЮЗ 2м/с,-7,745,ЮЗ 2м/с
2004-01-05,-9,747,СЗ 1м/с,-17,748,СЗ 1м/с
2004-01-06,-14,750,С 2м/с,-13,750,С 2м/с
2004-01-07,-13,751,С 1м/с,-12,752,С 1м/с
2004-01-08,-11,754,СВ 1м/с,-10,753,СВ 1м/с
2004-01-09,-7,750,Ш,-7,750,Ш
2004-01-10,-6,750,ЮВ 1м/с,-6,750,ЮВ 1м/с
2004-01-11,-4,753,Ю 3м/с,-4,753,Ю 3м/с
2004-01-12,-5,753,Ю 4м/с,-7,750,Ю 4м/с
2004-01-13,-5,744,ЮВ 3м/с,-4,743,ЮВ 3м/с
2004-01-14,-3,741,ЮВ 5м/с,-4,739,ЮВ 5м/с
2004-01-15,-6,734,ЮВ 4м/с,-6,735,ЮВ 4м/с
2004-01-16,0,737,ЮВ 2м/с,-1,735,ЮВ 2м/с
2004-01-17,-2,743,З 3м/с,-5,746,З 3м/с
2004-01-18,0,744,Ю 4м/с,0,744,Ю 4м/с
2004-01-19,-1,738,ЮВ 4м/с,-6,739,ЮВ 4м/с
2004-01-20,-5,741,ЮЗ 2м/с,-9,741,ЮЗ 2м/с
2004-01-21,-6,732,В 2м/с,-7,733,В 2м/с
2004-01-22,-8,741,З 1м/с,-14,744,З 1м/с
2004-01-23,-10,748,С 4м/с,-10,749,С 4м/с
2004-01-24,-5,750,СВ 3м/с,-5,750,СВ 3м/с
2004-01-25,-6,752,В 1м/с,-7,752,В 1м/с
2004-01-26,-4,753,ЮВ 3м/с,-5,753,ЮВ 3м/с
2004-01-27,-9,750,В 3м/с,-13,750,В 3м/с
2004-01-28,-10,750,В 2м/с,-9,749,В 2м/с
