Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2017-01-01,1,739,З 3м/с,+1,737,З 3м/с
2017-01-02,2,734,З 2м/с,0,733,З 2м/с
2017-01-03,-4,734,СЗ 2м/с,-8,735,СЗ 2м/с
2017-01-04,-7,737,Ю 2м/с,-6,735,Ю 2м/с
2017-01-05,-1,737,Ю 2м/с,-6,741,Ю 2м/с
2017-01-06,-21,754,С 3м/с,-23,756,С 3м/с
2017-01-07,-22,752,С 3м/с,-22,752,С 3м/с
2017-01-08,-18,754,С 3м/с,-18,755,С 3м/с
2017-01-09,-15,755,СЗ 1м/с,-19,754,СЗ 1м/с
2017-01-10,-11,754,ЮЗ 2м/с,-10,754,ЮЗ 2м/с
2017-01-11,-10,755,ЮЗ 3м/с,-10,753,ЮЗ 3м/с
2017-01-12,-8,744,ЮВ 4м/с,-3,740,ЮВ 4м/с
2017-01-13,-3,743,С 1м/с,-5,745,С 1м/с
2017-01-15,-3,749,Ю 6м/с,-3,749,Ю 6м/с
2017-01-16,-3,754,Ю 1м/с,-3,755,Ю 1м/с
2017-01-17,-3,758,СЗ 1м/с,-4,759,СЗ 1м/с
2017-01-18,-5,761,З 3м/с,-10,761,З 3м/с
2017-01-19,-5,754,ЮЗ 5м/с,-5,750,ЮЗ 5м/с
2017-01-20,0,745,З 3м/с,-5,746,З 3м/с
2017-01-21,-2,742,СЗ 3м/с,-5,746,СЗ 3м/с
2017-01-22,-4,747,З 4м/с,-3,746,З 4м/с
2017-01-23,1,746,З 3м/с,0,743,З 3м/с
2017-01-24,0,740,З 3м/с,-1,740,З 3м/с
2017-01-25,-9,749,С 6м/с,-14,754,С 6м/с
2017-01-26,-17,755,З 1м/с,-14,750,З 1м/с
2017-01-27,-6,749,СЗ 2м/с,-5,752,СЗ 2м/с
2017-01-28,-6,755,СВ 2м/с,-8,758,СВ 2м/с
2017-01-29,-14,763,ЮЗ 1м/с,-20,764,ЮЗ 1м/с
2017-01-30,-14,762,Ю 3м/с,-17,761,Ю 3м/с
2017-01-31,-12,755,ЮЗ 3м/с,-11,753,ЮЗ 3м/с
2017-02-01,-4,749,З 3м/с,-4,749,З 3м/с
2017-02-02,-6,755,СЗ 2м/с,-13,756,СЗ 2м/с
2017-02-03,-8,755,Ю 1м/с,-12,753,Ю 1м/с
2017-02-04,-8,748,ЮВ 3м/с,-10,746,ЮВ 3м/с
2017-02-05,-10,746,С 2м/с,-11,749,С 2м/с
2017-02-06,-12,757,С 4м/с,-16,759,С 4м/с
2017-02-07,-18,764,С 4м/с,-19,766,С 4м/с
2017-02-08,-13,764,СЗ 3м/с,-14,764,СЗ 3м/с
2017-02-09,-7,763,С 2м/с,-7,763,С 2м/с
2017-02-10,-2,761,СЗ 4м/с,-3,761,СЗ 4м/с
2017-02-11,0,761,СЗ 2м/с,-1,761,СЗ 2м/с
2017-02-12,-2,760,СЗ 2м/с,-5,760,СЗ 2м/с
2017-02-13,-7,756,ЮЗ 3м/с,-8,752,ЮЗ 3м/с
2017-02-14,3,735,С 5м/с,+2,740,С 5м/с
2017-02-15,-1,751,С 4м/с,-5,755,С 4м/с
2017-02-16,-4,758,З 2м/с,-11,757,З 2м/с
2017-02-17,-5,746,Ю 5м/с,-4,745,Ю 5м/с
2017-02-18,3,743,З 3м/с,+2,743,З 3м/с
2017-02-19,2,746,ЮЗ 5м/с,+1,743,ЮЗ 5м/с
2017-02-20,2,740,ЮЗ 5м/с,+1,737,ЮЗ 5м/с
2017-02-21,0,728,ЮЗ 5м/с,0,728,ЮЗ 5м/с
2017-02-22,0,732,С 3м/с,-4,734,С 3м/с
2017-02-23,0,728,Ю 4м/с,0,727,Ю 4м/с
2017-02-24,1,730,Ю 4м/с,+2,728,Ю 4м/с
2017-02-25,1,735,З 4м/с,-3,737,З 4м/с
2017-02-26,-1,743,З 4м/с,-3,741,З 4м/с
2017-02-27,2,739,З 2м/с,+2,743,З 2м/с
2017-02-28,2,751,Ю 2м/с,+2,750,Ю 2м/с
2017-03-01,4,747,Ю 5м/с,+3,746,Ю 5м/с
2017-03-02,2,743,Ю 5м/с,+1,743,Ю 5м/с
2017-03-03,4,741,Ю 4м/с,+1,743,Ю 4м/с
2017-03-04,4,749,ЮЗ 4м/с,+1,750,ЮЗ 4м/с
2017-03-05,3,746,Ю 4м/с,+2,745,Ю 4м/с
2017-03-06,4,746,Ю 3м/с,+3,748,Ю 3м/с
2017-03-07,6,752,ЮВ 4м/с,+3,755,ЮВ 4м/с
2017-03-08,6,759,ЮВ 2м/с,+2,759,ЮВ 2м/с
2017-03-09,7,758,ЮВ 3м/с,+2,758,ЮВ 3м/с
2017-03-10,6,755,Ю 4м/с,+2,754,Ю 4м/с
2017-03-11,6,753,Ю 3м/с,+2,754,Ю 3м/с
2017-03-12,6,755,ЮВ 2м/с,-1,756,ЮВ 2м/с
2017-03-13,6,755,Ю 2м/с,-1,755,Ю 2м/с
2017-03-14,7,755,ЮЗ 2м/с,-1,755,ЮЗ 2м/с
2017-03-15,7,749,Ю 5м/с,+2,746,Ю 5м/с
2017-03-16,3,743,Ю 3м/с,+2,745,Ю 3м/с
2017-03-17,3,746,Ю 3м/с,+2,746,Ю 3м/с
2017-03-18,4,743,Ю 3м/с,+3,742,Ю 3м/с
2017-03-19,3,740,Ю 3м/с,+3,740,Ю 3м/с
