Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2002-01-01,-12,741,СЗ 2м/с,-12,744,СЗ 2м/с
2002-01-02,-14,750,СВ 1м/с,-21,753,СВ 1м/с
2002-01-03,-21,762,СЗ 1м/с,-24,762,СЗ 1м/с
2002-01-04,-17,752,Ю 3м/с,-14,749,Ю 3м/с
2002-01-05,-7,746,З 3м/с,-5,743,З 3м/с
2002-01-06,-1,736,З 2м/с,-3,736,З 2м/с
2002-01-07,-19,747,С 5м/с,-22,750,С 5м/с
2002-01-08,-23,754,СЗ 3м/с,-24,755,СЗ 3м/с
2002-01-09,-4,742,СЗ 3м/с,-1,744,СЗ 3м/с
2002-01-10,0,748,СЗ 5м/с,0,747,СЗ 5м/с
2002-01-11,1,744,СЗ 5м/с,+1,745,СЗ 5м/с
2002-01-12,0,748,З 3м/с,0,750,З 3м/с
2002-01-13,0,751,СЗ 3м/с,0,753,СЗ 3м/с
2002-01-14,-2,752,З 3м/с,-1,749,З 3м/с
2002-01-15,0,747,З 4м/с,0,749,З 4м/с
2002-01-16,0,752,ЮЗ 3м/с,-1,751,ЮЗ 3м/с
2002-01-17,-1,750,ЮЗ 5м/с,-5,750,ЮЗ 5м/с
2002-01-18,-4,749,З 3м/с,-5,749,З 3м/с
2002-01-19,-3,747,ЮЗ 1м/с,-4,747,ЮЗ 1м/с
2002-01-20,-5,742,ЮЗ 4м/с,-6,741,ЮЗ 4м/с
2002-01-21,-5,738,Ю 4м/с,-4,738,Ю 4м/с
2002-01-22,0,738,ЮЗ 4м/с,-1,739,ЮЗ 4м/с
2002-01-23,1,737,Ю 5м/с,+1,737,Ю 5м/с
2002-01-24,2,741,ЮЗ 5м/с,+1,741,ЮЗ 5м/с
2002-01-25,1,738,Ю 6м/с,0,735,Ю 6м/с
2002-01-26,-1,736,ЮЗ 7м/с,-2,738,ЮЗ 7м/с
2002-01-27,2,735,ЮЗ 4м/с,+1,731,ЮЗ 4м/с
2002-01-28,-2,735,СЗ 7м/с,-8,742,СЗ 7м/с
2002-01-29,-1,730,Ю 4м/с,+1,728,Ю 4м/с
2002-01-30,0,728,З 5м/с,0,731,З 5м/с
2002-01-31,-10,745,СЗ 3м/с,-17,746,СЗ 3м/с
2002-02-01,-10,738,В 4м/с,-12,744,В 4м/с
2002-02-02,-14,756,ЮЗ 1м/с,-13,754,ЮЗ 1м/с
2002-02-03,2,750,ЮЗ 1м/с,+3,749,ЮЗ 1м/с
2002-02-04,2,750,ЮЗ 1м/с,0,750,ЮЗ 1м/с
2002-02-05,2,747,З 3м/с,+1,748,З 3м/с
2002-02-06,3,746,Ю 3м/с,-2,744,Ю 3м/с
2002-02-07,1,746,Ю 3м/с,0,745,Ю 3м/с
2002-02-08,1,741,ЮЗ 3м/с,+1,741,ЮЗ 3м/с
2002-02-09,1,739,ЮЗ 2м/с,0,738,ЮЗ 2м/с
2002-02-10,1,738,Ю 4м/с,+1,737,Ю 4м/с
2002-02-11,2,736,З 2м/с,+1,736,З 2м/с
2002-02-12,0,730,Ю 7м/с,+1,729,Ю 7м/с
2002-02-13,3,726,ЮЗ 5м/с,0,726,ЮЗ 5м/с
2002-02-14,0,731,СЗ 3м/с,0,735,СЗ 3м/с
2002-02-15,-2,744,СЗ 5м/с,-3,746,СЗ 5м/с
2002-02-16,0,744,СЗ 3м/с,-1,746,СЗ 3м/с
2002-02-17,1,741,З 5м/с,+1,743,З 5м/с
2002-02-18,1,747,З 2м/с,0,747,З 2м/с
