Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2022-01-01,-1,736,С 2м/с,-2,737,С 2м/с
2022-01-02,-7,744,СЗ 4м/с,-8,745,СЗ 4м/с
2022-01-03,-8,737,ЮВ 1м/с,-11,735,ЮВ 1м/с
2022-01-04,-9,739,Ш,-10,740,Ш
2022-01-05,-6,733,ЮВ 5м/с,-2,731,ЮВ 5м/с
2022-01-06,1,732,ЮЗ 1м/с,0,734,ЮЗ 1м/с
2022-01-07,-3,738,СЗ 3м/с,-6,742,СЗ 3м/с
2022-01-08,-6,752,ЮЗ 2м/с,-8,753,ЮЗ 2м/с
2022-01-09,-8,751,ЮВ 3м/с,-6,748,ЮВ 3м/с
2022-01-10,-4,746,В 1м/с,-5,747,В 1м/с
2022-01-11,-8,753,С 3м/с,-11,755,С 3м/с
2022-01-12,-12,752,С 4м/с,-14,752,С 4м/с
2022-01-13,-17,743,Ю 3м/с,-11,736,Ю 3м/с
2022-01-14,0,717,З 2м/с,0,716,З 2м/с
2022-01-15,-2,728,СЗ 4м/с,-2,733,СЗ 4м/с
2022-01-16,-4,742,СЗ 3м/с,-7,742,СЗ 3м/с
2022-01-17,-4,729,Ю 6м/с,-3,728,Ю 6м/с
2022-01-18,-2,737,С 4м/с,-6,743,С 4м/с
2022-01-19,-9,748,З 1м/с,-13,747,З 1м/с
2022-01-20,-7,742,Ю 6м/с,-6,740,Ю 6м/с
2022-01-21,-7,736,ЮВ 4м/с,-5,736,ЮВ 4м/с
2022-01-22,-4,742,ЮВ 2м/с,-5,746,ЮВ 2м/с
2022-01-23,-4,756,С 1м/с,-8,759,С 1м/с
2022-01-24,-4,760,С 3м/с,-7,759,С 3м/с
2022-01-25,-9,751,ЮЗ 2м/с,-13,749,ЮЗ 2м/с
2022-01-26,-8,746,З 1м/с,-10,747,З 1м/с
2022-01-27,-7,747,Ю 2м/с,-11,746,Ю 2м/с
2022-01-28,-7,741,Ю 4м/с,-7,741,Ю 4м/с
2022-01-29,-4,740,Ю 1м/с,-5,740,Ю 1м/с
2022-01-30,-3,734,Ю 3м/с,-4,734,Ю 3м/с
2022-01-31,0,731,ЮВ 2м/с,-1,730,ЮВ 2м/с
2022-02-01,0,734,ЮЗ 3м/с,-3,737,ЮЗ 3м/с
2022-02-02,-3,742,Ю 3м/с,-4,743,Ю 3м/с
2022-02-03,-5,745,С 1м/с,-8,745,С 1м/с
2022-02-04,-5,744,С 3м/с,-9,745,С 3м/с
2022-02-05,-7,744,СЗ 3м/с,-8,743,СЗ 3м/с
2022-02-06,-9,740,ЮВ 2м/с,-9,740,ЮВ 2м/с
2022-02-07,-1,740,Ю 3м/с,0,740,Ю 3м/с
2022-02-08,1,741,Ю 2м/с,0,742,Ю 2м/с
2022-02-09,0,743,Ю 2м/с,-4,743,Ю 2м/с
2022-02-10,0,740,ЮЗ 2м/с,-1,742,ЮЗ 2м/с
2022-02-11,0,742,ЮЗ 3м/с,-3,743,ЮЗ 3м/с
2022-02-12,1,747,СЗ 2м/с,-6,750,СЗ 2м/с
2022-02-13,1,752,З 3м/с,-5,752,З 3м/с
2022-02-14,-2,749,ЮЗ 4м/с,-3,749,ЮЗ 4м/с
2022-02-15,-1,752,ЮЗ 4м/с,-5,753,ЮЗ 4м/с
2022-02-16,-2,751,Ю 5м/с,-1,749,Ю 5м/с
2022-02-17,1,737,Ю 5м/с,+2,733,Ю 5м/с
2022-02-18,2,733,Ю 4м/с,+1,737,Ю 4м/с
2022-02-19,2,737,Ю 7м/с,+1,734,Ю 7м/с
2022-02-20,3,736,З 4м/с,0,740,З 4м/с
2022-02-21,2,738,ЮЗ 3м/с,+1,738,ЮЗ 3м/с
2022-02-22,4,737,ЮЗ 4м/с,+1,737,ЮЗ 4м/с
2022-02-23,3,742,З 2м/с,+1,746,З 2м/с
2022-02-24,1,754,З 2м/с,-3,755,З 2м/с
2022-02-25,1,752,Ю 3м/с,-1,751,Ю 3м/с
2022-02-26,-2,752,З 1м/с,-1,754,З 1м/с
2022-02-27,1,758,С 5м/с,-2,759,С 5м/с
2022-02-28,1,759,С 4м/с,-1,760,С 4м/с
2022-03-01,3,760,З 2м/с,-4,758,З 2м/с
2022-03-02,3,754,ЮЗ 1м/с,-3,751,ЮЗ 1м/с
2022-03-03,1,745,ЮЗ 1м/с,-2,745,ЮЗ 1м/с
2022-03-04,0,743,С 4м/с,-4,743,С 4м/с
2022-03-05,0,745,С 5м/с,-1,746,С 5м/с
2022-03-06,0,745,З 4м/с,-3,743,З 4м/с
2022-03-07,1,743,З 1м/с,-2,743,З 1м/с
2022-03-08,-2,747,СВ 2м/с,-5,750,СВ 2м/с
2022-03-09,-4,753,СВ 3м/с,-8,756,СВ 3м/с
2022-03-10,-4,760,С 4м/с,-8,761,С 4м/с
2022-03-11,-3,758,З 1м/с,-8,756,З 1м/с
2022-03-12,-3,752,Ю 1м/с,-6,754,Ю 1м/с
2022-03-13,-2,756,СЗ 3м/с,-2,754,СЗ 3м/с
2022-03-14,2,753,С 3м/с,-1,755,С 3м/с
2022-03-15,0,760,С 4м/с,-3,761,С 4м/с
2022-03-16,-2,762,СВ 4м/с,-5,764,СВ 4м/с
2022-03-17,0,767,С 3м/с,-5,767,С 3м/с
2022-03-18,3,767,СЗ 2м/с,-3,766,СЗ 2м/с
2022-03-19,2,767,Ю 3м/с,-3,767,Ю 3м/с
2022-03-20,7,761,З 3м/с,+4,760,З 3м/с
2022-03-21,9,758,СЗ 4м/с,+6,761,СЗ 4м/с
2022-03-22,9,758,З 3м/с,+2,758,З 3м/с
2022-03-23,9,755,З 2м/с,+2,753,З 2м/с
2022-03-24,9,749,Ю 2м/с,+1,749,Ю 2м/с
2022-03-25,9,750,ЮЗ 2м/с,+4,748,ЮЗ 2м/с
2022-03-26,5,732,ЮЗ 5м/с,0,731,ЮЗ 5м/с
2022-03-27,-3,737,СЗ 6м/с,-5,742,СЗ 6м/с
2022-03-28,-5,740,Ю 5м/с,+1,731,Ю 5м/с
2022-03-29,5,734,ЮЗ 4м/с,+2,735,ЮЗ 4м/с
2022-03-30,1,742,З 2м/с,-1,743,З 2м/с
2022-03-31,2,744,ЮВ 3м/с,-1,743,ЮВ 3м/с
2022-04-01,4,743,СВ 2м/с,0,742,СВ 2м/с
2022-04-02,1,734,В 2м/с,+1,731,В 2м/с
2022-04-03,0,733,СЗ 2м/с,-1,736,СЗ 2м/с
2022-04-04,3,739,СЗ 3м/с,-1,740,СЗ 3м/с
2022-04-05,4,740,Ю 5м/с,+2,738,Ю 5м/с
2022-04-06,5,739,ЮЗ 4м/с,+2,740,ЮЗ 4м/с
2022-04-07,5,740,Ю 4м/с,+8,740,Ю 4м/с
2022-04-08,15,738,ЮВ 5м/с,+11,736,ЮВ 5м/с
2022-04-09,11,741,ЮЗ 2м/с,+8,742,ЮЗ 2м/с
2022-04-10,11,742,СЗ 1м/с,+9,743,СЗ 1м/с
2022-04-11,21,741,Ю 5м/с,+8,743,Ю 5м/с
2022-04-12,18,743,ЮВ 3м/с,+15,743,ЮВ 3м/с
2022-04-13,13,746,С 3м/с,+7,747,С 3м/с
2022-04-14,12,747,С 4м/с,+8,748,С 4м/с
2022-04-15,12,747,СЗ 3м/с,+9,747,СЗ 3м/с
2022-04-16,8,745,СЗ 2м/с,+2,746,СЗ 2м/с
2022-04-17,2,751,СВ 3м/с,+2,752,СВ 3м/с
2022-04-18,6,750,В 2м/с,+5,749,В 2м/с
2022-04-19,10,749,СВ 2м/с,+7,749,СВ 2м/с
2022-04-20,10,747,СВ 2м/с,+9,747,СВ 2м/с
2022-04-21,8,750,В 2м/с,+7,752,В 2м/с
2022-04-22,12,751,В 2м/с,+9,750,В 2м/с
2022-04-23,15,749,ЮЗ 2м/с,+9,748,ЮЗ 2м/с
2022-04-24,15,746,Ю 2м/с,+10,746,Ю 2м/с
2022-04-25,17,744,Ю 4м/с,+14,743,Ю 4м/с
2022-04-26,16,741,З 1м/с,+11,742,З 1м/с
2022-04-27,7,746,СЗ 4м/с,+8,749,СЗ 4м/с
2022-04-28,7,755,СЗ 3м/с,+4,755,СЗ 3м/с
2022-04-29,9,755,Ю 2м/с,+5,754,Ю 2м/с
2022-04-30,7,753,СЗ 4м/с,+4,754,СЗ 4м/с
2022-05-01,12,753,З 2м/с,+7,752,З 2м/с
2022-05-02,14,749,З 2м/с,+11,748,З 2м/с
2022-05-03,19,742,ЮЗ 6м/с,+14,741,ЮЗ 6м/с
2022-05-04,11,744,С 5м/с,+5,748,С 5м/с
2022-05-05,10,755,СЗ 4м/с,+5,756,СЗ 4м/с
2022-05-06,15,758,ЮЗ 2м/с,+10,758,ЮЗ 2м/с
2022-05-07,18,756,ЮЗ 3м/с,+13,755,ЮЗ 3м/с
2022-05-08,20,751,ЮЗ 5м/с,+15,749,ЮЗ 5м/с
2022-05-09,7,750,СЗ 3м/с,+5,751,СЗ 3м/с
2022-05-10,5,746,С 5м/с,+6,744,С 5м/с
2022-05-11,14,740,С 4м/с,+11,741,С 4м/с
2022-05-12,19,740,ЮЗ 3м/с,+13,736,ЮЗ 3м/с
2022-05-13,17,740,З 5м/с,+12,740,З 5м/с
2022-05-14,16,739,З 4м/с,+9,740,З 4м/с
2022-05-15,15,739,СВ 2м/с,+10,739,СВ 2м/с
