Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2003-01-01,-21,741,ЮЗ 3м/с,-12,740,ЮЗ 3м/с
2003-01-02,-11,744,Ю 3м/с,-10,743,Ю 3м/с
2003-01-03,-5,735,Ю 5м/с,-3,732,Ю 5м/с
2003-01-04,0,729,Ю 1м/с,-1,730,Ю 1м/с
2003-01-05,-5,734,Ю 1м/с,-4,733,Ю 1м/с
2003-01-06,-21,742,ЮЗ 2м/с,-24,744,ЮЗ 2м/с
2003-01-07,-23,749,ЮЗ 1м/с,-26,750,ЮЗ 1м/с
2003-01-08,-23,747,Ю 1м/с,-25,747,Ю 1м/с
2003-01-09,-14,745,ЮЗ 3м/с,-10,744,ЮЗ 3м/с
2003-01-10,-9,746,ЮЗ 3м/с,-10,746,ЮЗ 3м/с
2003-01-11,-24,750,З 2м/с,-27,751,З 2м/с
2003-01-12,-15,744,Ю 5м/с,-13,743,Ю 5м/с
2003-01-13,-7,742,Ю 5м/с,-5,738,Ю 5м/с
2003-01-14,-8,743,СЗ 1м/с,-14,743,СЗ 1м/с
2003-01-15,0,732,З 2м/с,0,734,З 2м/с
2003-01-16,1,738,З 4м/с,+1,738,З 4м/с
2003-01-17,0,748,З 5м/с,-3,744,З 5м/с
2003-01-18,1,748,ЮЗ 4м/с,+1,748,ЮЗ 4м/с
2003-01-19,0,747,ЮЗ 4м/с,0,749,ЮЗ 4м/с
2003-01-20,0,750,З 2м/с,0,751,З 2м/с
2003-01-22,-1,757,Ю 4м/с,-3,758,Ю 4м/с
2003-01-23,-5,759,Ю 4м/с,-7,759,Ю 4м/с
2003-01-24,-7,759,Ю 2м/с,-7,760,Ю 2м/с
2003-01-25,-6,757,ЮЗ 3м/с,-4,754,ЮЗ 3м/с
2003-01-26,0,753,ЮЗ 1м/с,0,752,ЮЗ 1м/с
2003-01-27,0,744,ЮЗ 4м/с,-1,743,ЮЗ 4м/с
2003-01-28,-1,735,Ю 4м/с,-1,733,Ю 4м/с
2003-01-29,-2,728,Ю 4м/с,0,729,Ю 4м/с
2003-01-30,-1,732,Ю 3м/с,-2,732,Ю 3м/с
2003-01-31,-2,737,ЮЗ 3м/с,-1,738,ЮЗ 3м/с
2003-02-01,-8,744,ЮЗ 2м/с,-13,745,ЮЗ 2м/с
2003-02-02,-13,747,СЗ 2м/с,-20,749,СЗ 2м/с
2003-02-03,-17,752,СЗ 1м/с,-20,751,СЗ 1м/с
2003-02-04,-15,748,СВ 2м/с,-13,749,СВ 2м/с
2003-02-05,-10,750,ЮВ 1м/с,-13,752,ЮВ 1м/с
2003-02-06,-10,753,ЮВ 2м/с,-11,753,ЮВ 2м/с
2003-02-07,-9,752,В 3м/с,-6,752,В 3м/с
2003-02-08,-4,759,В 2м/с,-8,761,В 2м/с
2003-02-09,-8,762,В 4м/с,-12,762,В 4м/с
2003-02-10,-12,762,ЮЗ 1м/с,-14,762,ЮЗ 1м/с
2003-02-12,-12,759,ЮЗ 2м/с,-11,756,ЮЗ 2м/с
2003-02-13,-5,750,З 3м/с,-3,749,З 3м/с
2003-02-14,-1,747,СЗ 2м/с,-2,746,СЗ 2м/с
2003-02-15,-12,756,С 4м/с,-19,759,С 4м/с
2003-02-16,-12,760,З 3м/с,-10,756,З 3м/с
2003-02-17,-5,745,СЗ 4м/с,-4,745,СЗ 4м/с
2003-02-18,-4,744,СЗ 3м/с,-6,743,СЗ 3м/с
2003-02-19,-4,739,Ш,-4,738,Ш
2003-02-20,-7,742,С 5м/с,-8,747,С 5м/с
2003-02-21,-11,757,З 2м/с,-12,758,З 2м/с
2003-02-22,-4,758,ЮЗ 2м/с,-8,756,ЮЗ 2м/с
2003-02-23,-2,759,С 1м/с,-9,759,С 1м/с
2003-02-24,-4,757,СЗ 2м/с,-4,759,СЗ 2м/с
2003-02-25,-4,755,З 3м/с,-4,754,З 3м/с
2003-02-26,-2,756,СЗ 2м/с,-3,756,СЗ 2м/с
2003-02-27,-2,760,СВ 2м/с,-10,760,СВ 2м/с
2003-02-28,-4,762,Ю 3м/с,-9,760,Ю 3м/с
2003-03-01,-10,758,Ю 1м/с,-15,757,Ю 1м/с
2003-03-02,-9,757,Ю 1м/с,-14,756,Ю 1м/с
2003-03-03,-7,759,Ш,-13,759,Ш
2003-03-04,-8,762,Ю 2м/с,-13,761,Ю 2м/с
2003-03-05,-4,760,З 1м/с,-10,760,З 1м/с
2003-03-06,-5,760,З 1м/с,-11,759,З 1м/с
2003-03-07,-6,762,Ш,-11,761,Ш
2003-03-08,-2,761,Ю 2м/с,-8,760,Ю 2м/с
2003-03-09,-3,756,ЮВ 2м/с,-4,754,ЮВ 2м/с
2003-03-10,0,754,Ю 5м/с,-5,755,Ю 5м/с
2003-03-11,-1,753,Ю 5м/с,-1,751,Ю 5м/с
2003-03-12,0,747,ЮВ 4м/с,-1,745,ЮВ 4м/с
2003-03-13,0,750,В 3м/с,-2,753,В 3м/с
2003-03-14,1,759,З 2м/с,0,758,З 2м/с
2003-03-15,2,755,З 1м/с,0,753,З 1м/с
2003-03-16,1,753,СЗ 5м/с,-4,753,СЗ 5м/с
2003-03-17,0,749,Ю 2м/с,-5,746,Ю 2м/с
2003-03-18,0,741,ЮЗ 1м/с,0,742,ЮЗ 1м/с
2003-03-19,0,742,ЮЗ 4м/с,0,740,ЮЗ 4м/с
2003-03-20,0,732,Ю 3м/с,0,731,Ю 3м/с
2003-03-22,-6,749,С 4м/с,-6,753,С 4м/с
2003-03-23,-3,754,ЮЗ 2м/с,-5,753,ЮЗ 2м/с
2003-03-24,-5,741,Ю 6м/с,-1,738,Ю 6м/с
2003-03-25,0,741,СЗ 4м/с,-1,741,СЗ 4м/с
2003-03-26,1,750,ЮЗ 2м/с,0,753,ЮЗ 2м/с
2003-03-27,0,756,З 2м/с,-4,753,З 2м/с
2003-03-28,4,749,ЮЗ 4м/с,+1,747,ЮЗ 4м/с
2003-03-29,6,746,З 4м/с,+2,748,З 4м/с
2003-03-30,4,746,Ю 5м/с,+2,744,Ю 5м/с
2003-03-31,3,739,Ю 7м/с,+2,738,Ю 7м/с
2003-04-01,2,740,В 1м/с,0,738,В 1м/с
2003-04-02,-2,741,Ю 6м/с,-4,743,Ю 6м/с
2003-04-03,0,747,Ю 3м/с,0,747,Ю 3м/с
2003-04-04,4,745,Ю 5м/с,+2,744,Ю 5м/с
2003-04-05,1,738,Ю 2м/с,+2,738,Ю 2м/с
2003-04-06,2,737,СВ 4м/с,0,735,СВ 4м/с
2003-04-07,2,738,Ю 5м/с,0,744,Ю 5м/с
2003-04-08,6,748,В 5м/с,+6,747,В 5м/с
2003-04-09,5,747,В 6м/с,+2,748,В 6м/с
2003-04-10,3,758,Ю 2м/с,0,759,Ю 2м/с
2003-04-11,0,756,СЗ 3м/с,0,753,СЗ 3м/с
2003-04-12,7,754,ЮЗ 3м/с,+4,754,ЮЗ 3м/с
2003-04-13,9,755,В 2м/с,+5,756,В 2м/с
2003-04-14,10,758,С 2м/с,+6,759,С 2м/с
2003-04-15,11,762,Ю 3м/с,+6,762,Ю 3м/с
2003-04-16,10,764,Ю 4м/с,+6,763,Ю 4м/с
2003-04-17,11,762,ЮВ 4м/с,+7,762,ЮВ 4м/с
2003-04-18,11,765,Ю 2м/с,+4,764,Ю 2м/с
2003-04-19,13,759,С 2м/с,+7,756,С 2м/с
2003-04-20,14,751,СЗ 3м/с,+9,750,СЗ 3м/с
2003-04-21,15,751,Ю 4м/с,+9,752,Ю 4м/с
2003-04-22,16,752,СЗ 2м/с,+10,750,СЗ 2м/с
2003-04-23,17,749,З 1м/с,+11,747,З 1м/с
2003-04-24,15,743,З 2м/с,+10,742,З 2м/с
2003-04-25,4,744,СЗ 6м/с,0,747,СЗ 6м/с
2003-04-26,2,748,С 4м/с,-1,748,С 4м/с
2003-04-27,1,750,СЗ 3м/с,-1,750,СЗ 3м/с
2003-04-28,2,750,Ю 4м/с,+1,747,Ю 4м/с
2003-04-29,10,747,Ю 3м/с,+8,747,Ю 3м/с
2003-04-30,12,745,ЮЗ 4м/с,+12,745,ЮЗ 4м/с
2003-05-01,21,745,ЮЗ 4м/с,+18,740,ЮЗ 4м/с
2003-05-02,17,743,З 7м/с,+11,743,З 7м/с
2003-05-03,15,747,З 5м/с,+10,747,З 5м/с
2003-05-04,11,738,ЮВ 6м/с,+10,744,ЮВ 6м/с
2003-05-05,7,741,С 3м/с,+7,747,С 3м/с
2003-05-06,15,754,С 3м/с,+10,753,С 3м/с
2003-05-07,20,750,ЮЗ 4м/с,+15,747,ЮЗ 4м/с
2003-05-08,17,743,З 4м/с,+12,744,З 4м/с
2003-05-09,16,747,СЗ 4м/с,+11,747,СЗ 4м/с
2003-05-10,20,750,ЮЗ 4м/с,+17,750,ЮЗ 4м/с
2003-05-11,18,751,Ю 2м/с,+15,752,Ю 2м/с
2003-05-12,23,752,ЮЗ 1м/с,+17,753,ЮЗ 1м/с
2003-05-13,21,752,ЮВ 2м/с,+17,752,ЮВ 2м/с
2003-05-14,24,752,В 3м/с,+19,752,В 3м/с
2003-05-15,21,752,Ю 3м/с,+15,751,Ю 3м/с
2003-05-16,18,747,В 2м/с,+13,747,В 2м/с
2003-05-17,13,746,ЮЗ 2м/с,+9,747,ЮЗ 2м/с
2003-05-18,16,750,З 3м/с,+11,750,З 3м/с
2003-05-19,20,750,Ю 3м/с,+14,750,Ю 3м/с
2003-05-20,23,750,ЮЗ 3м/с,+17,750,ЮЗ 3м/с
2003-05-21,25,750,ЮЗ 4м/с,+20,750,ЮЗ 4м/с
2003-05-22,26,751,СВ 1м/с,+21,750,СВ 1м/с
2003-05-23,27,747,ЮЗ 5м/с,+22,747,ЮЗ 5м/с
2003-05-24,25,750,Ш,+20,750,Ш
2003-05-25,26,751,СЗ 3м/с,+18,750,СЗ 3м/с
2003-05-26,22,754,С 1м/с,+17,753,С 1м/с
2003-05-27,24,751,Ю 2м/с,+19,749,Ю 2м/с
2003-05-28,24,745,СЗ 2м/с,+19,744,СЗ 2м/с
2003-05-29,13,744,С 2м/с,+11,744,С 2м/с
2003-05-30,13,747,СЗ 4м/с,+9,747,СЗ 4м/с
2003-05-31,19,744,ЮЗ 4м/с,+17,741,ЮЗ 4м/с
2003-06-01,15,737,СЗ 3м/с,+12,737,СЗ 3м/с
2003-06-02,9,741,З 4м/с,+6,743,З 4м/с
2003-06-03,5,731,З 3м/с,+4,747,З 3м/с
2003-06-04,9,747,СЗ 4м/с,+7,747,СЗ 4м/с
2003-06-05,18,743,ЮЗ 4м/с,+14,742,ЮЗ 4м/с
2003-06-06,17,741,З 2м/с,+14,739,З 2м/с
2003-06-07,12,739,Ш,+11,743,Ш
2003-06-08,13,744,З 2м/с,+11,744,З 2м/с
2003-06-09,19,747,СЗ 3м/с,+14,747,СЗ 3м/с
2003-06-10,18,741,Ю 4м/с,+18,740,Ю 4м/с
2003-06-11,15,742,З 5м/с,+12,744,З 5м/с
2003-06-12,14,742,ЮВ 1м/с,+13,742,ЮВ 1м/с
2003-06-13,16,743,ЮЗ 3м/с,+12,740,ЮЗ 3м/с
2003-06-14,12,738,СЗ 5м/с,+10,740,СЗ 5м/с
2003-06-15,16,741,СЗ 3м/с,+11,741,СЗ 3м/с
2003-06-16,15,741,З 4м/с,+10,741,З 4м/с
2003-06-21,19,735,З 3м/с,+15,735,З 3м/с
2003-06-22,15,734,Ю 5м/с,+13,735,Ю 5м/с
2003-06-23,18,737,ЮЗ 2м/с,+14,738,ЮЗ 2м/с
2003-06-24,16,741,СЗ 3м/с,+13,742,СЗ 3м/с
2003-06-25,19,741,СЗ 1м/с,+13,741,СЗ 1м/с
2003-06-26,17,740,СВ 2м/с,+15,740,СВ 2м/с
2003-06-27,19,739,СВ 3м/с,+15,739,СВ 3м/с
2003-06-28,12,738,СЗ 3м/с,+11,738,СЗ 3м/с
2003-06-29,13,741,З 3м/с,+12,741,З 3м/с
2003-06-30,15,740,З 2м/с,+14,740,З 2м/с
2003-07-01,18,740,Ш,+15,740,Ш
2003-07-02,23,741,СЗ 2м/с,+17,741,СЗ 2м/с
2003-07-03,24,742,ЮЗ 4м/с,+18,743,ЮЗ 4м/с
2003-07-04,25,743,З 3м/с,+20,742,З 3м/с
