Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2016-01-01,-15,762,СВ 2м/с,-15,763,СВ 2м/с
2016-01-02,-17,761,С 2м/с,-19,758,С 2м/с
2016-01-03,-16,751,С 3м/с,-15,747,С 3м/с
2016-01-04,-17,743,ЮЗ 1м/с,-20,743,ЮЗ 1м/с
2016-01-05,-15,749,Ю 3м/с,-17,750,Ю 3м/с
2016-01-06,-11,748,ЮВ 2м/с,-12,746,ЮВ 2м/с
2016-01-07,-9,745,Ш,-9,745,Ш
2016-01-08,-6,743,СВ 3м/с,-6,740,СВ 3м/с
2016-01-09,-8,737,С 3м/с,-10,738,С 3м/с
2016-01-10,-13,741,СЗ 3м/с,-12,744,СЗ 3м/с
2016-01-11,-15,749,З 1м/с,-22,750,З 1м/с
2016-01-12,-11,740,ЮВ 3м/с,-8,733,ЮВ 3м/с
2016-01-13,-3,731,ЮЗ 4м/с,-4,736,ЮЗ 4м/с
2016-01-14,-2,739,Ю 4м/с,-4,740,Ю 4м/с
2016-01-15,-9,746,Ю 2м/с,-10,749,Ю 2м/с
2016-01-16,-7,751,ЮВ 3м/с,-6,747,ЮВ 3м/с
2016-01-17,-3,742,ЮЗ 2м/с,-6,745,ЮЗ 2м/с
2016-01-18,-9,746,С 3м/с,-8,745,С 3м/с
2016-01-19,-7,737,С 3м/с,-8,737,С 3м/с
2016-01-20,-9,741,С 4м/с,-9,743,С 4м/с
2016-01-21,-12,752,ЮЗ 2м/с,-15,754,ЮЗ 2м/с
2016-01-22,-4,749,ЮВ 2м/с,-11,751,ЮВ 2м/с
2016-01-23,-16,754,ЮЗ 2м/с,-19,755,ЮЗ 2м/с
2016-01-24,-18,756,ЮЗ 1м/с,-23,757,ЮЗ 1м/с
2016-01-25,-16,753,Ю 4м/с,-14,752,Ю 4м/с
2016-01-26,-11,753,ЮЗ 2м/с,-14,752,ЮЗ 2м/с
2016-01-27,-7,743,Ю 4м/с,-5,743,Ю 4м/с
2016-01-28,-2,741,Ю 3м/с,0,738,Ю 3м/с
2016-01-29,3,737,З 4м/с,+1,740,З 4м/с
2016-01-30,2,742,З 2м/с,+1,743,З 2м/с
2016-01-31,3,737,Ю 4м/с,+1,735,Ю 4м/с
2016-02-01,1,738,ЮЗ 3м/с,+1,742,ЮЗ 3м/с
2016-02-02,0,740,Ю 6м/с,0,735,Ю 6м/с
2016-02-03,2,733,ЮЗ 3м/с,+1,734,ЮЗ 3м/с
2016-02-04,2,738,ЮЗ 4м/с,0,739,ЮЗ 4м/с
2016-02-05,0,743,ЮЗ 3м/с,-2,744,ЮЗ 3м/с
2016-02-06,0,748,СЗ 3м/с,-3,751,СЗ 3м/с
2016-02-07,-3,754,Ю 3м/с,-1,753,Ю 3м/с
2016-02-08,-2,752,Ю 4м/с,-4,752,Ю 4м/с
2016-02-09,-1,750,Ю 5м/с,-3,749,Ю 5м/с
2016-02-10,2,752,Ю 6м/с,-1,752,Ю 6м/с
2016-02-11,0,752,ЮВ 5м/с,-2,751,ЮВ 5м/с
2016-02-12,-1,749,ЮВ 5м/с,0,750,ЮВ 5м/с
2016-02-13,1,752,ЮВ 3м/с,-1,752,ЮВ 3м/с
2016-02-14,-2,746,В 4м/с,+1,743,В 4м/с
2016-02-15,3,748,ЮЗ 3м/с,+2,751,ЮЗ 3м/с
2016-02-16,3,740,Ю 4м/с,+1,745,Ю 4м/с
2016-02-17,-3,755,СЗ 4м/с,-3,757,СЗ 4м/с
2016-02-18,-3,761,С 2м/с,-7,761,С 2м/с
2016-02-19,-2,761,В 2м/с,-3,761,В 2м/с
2016-02-20,1,758,С 2м/с,-5,755,С 2м/с
2016-02-21,-6,746,Ш,-7,745,Ш
2016-02-22,-2,738,Ю 6м/с,0,730,Ю 6м/с
2016-02-23,3,740,Ю 3м/с,+2,742,Ю 3м/с
2016-02-24,3,741,С 2м/с,-1,742,С 2м/с
2016-02-25,0,737,СЗ 2м/с,-1,741,СЗ 2м/с
2016-02-26,2,748,ЮЗ 3м/с,-3,749,ЮЗ 3м/с
2016-02-27,1,748,ЮЗ 2м/с,-1,750,ЮЗ 2м/с
2016-02-28,2,758,Ю 2м/с,-2,758,Ю 2м/с
2016-02-29,1,755,ЮЗ 2м/с,0,755,ЮЗ 2м/с
2016-03-01,-2,758,В 2м/с,-2,755,В 2м/с
2016-03-02,2,742,Ю 5м/с,+2,742,Ю 5м/с
2016-03-03,3,744,СЗ 1м/с,+1,746,СЗ 1м/с
2016-03-04,1,744,В 3м/с,+2,743,В 3м/с
2016-03-05,1,743,В 3м/с,+1,743,В 3м/с
2016-03-06,2,747,ЮЗ 2м/с,+1,749,ЮЗ 2м/с
2016-03-07,2,752,Ю 3м/с,+1,754,Ю 3м/с
2016-03-08,5,755,ЮВ 2м/с,+4,755,ЮВ 2м/с
2016-03-09,10,755,ЮВ 1м/с,+5,755,ЮВ 1м/с
2016-03-10,7,756,СВ 2м/с,+4,755,СВ 2м/с
2016-03-11,8,755,СЗ 1м/с,+1,755,СЗ 1м/с
2016-03-12,5,753,С 2м/с,+2,753,С 2м/с
2016-03-13,5,752,С 4м/с,0,752,С 4м/с
2016-03-14,2,750,С 3м/с,-2,751,С 3м/с
2016-03-15,2,754,С 4м/с,-2,753,С 4м/с
2016-03-16,1,743,СЗ 5м/с,+2,742,СЗ 5м/с
2016-03-17,4,737,З 4м/с,+2,734,З 4м/с
2016-03-18,-1,728,З 2м/с,-5,730,З 2м/с
2016-03-19,-4,734,СЗ 4м/с,-8,737,СЗ 4м/с
2016-03-20,-3,738,ЮЗ 3м/с,-9,740,ЮЗ 3м/с
2016-03-21,-2,742,З 3м/с,-5,742,З 3м/с
2016-03-22,-1,739,В 3м/с,-2,740,В 3м/с
2016-03-23,2,743,СВ 3м/с,-3,746,СВ 3м/с
2016-03-24,0,746,В 1м/с,-2,745,В 1м/с
2016-03-25,0,743,СВ 3м/с,-1,743,СВ 3м/с
2016-03-26,3,745,С 3м/с,+2,746,С 3м/с
2016-03-27,8,747,С 4м/с,+2,749,С 4м/с
2016-03-28,9,748,В 3м/с,0,748,В 3м/с
2016-03-29,6,749,Ю 2м/с,+4,748,Ю 2м/с
2016-03-30,6,750,Ю 2м/с,+4,749,Ю 2м/с
2016-03-31,10,746,Ю 5м/с,+3,742,Ю 5м/с
2016-04-01,6,740,З 4м/с,+3,740,З 4м/с
2016-04-02,4,735,С 6м/с,+1,737,С 6м/с
2016-04-03,6,740,СЗ 7м/с,+3,742,СЗ 7м/с
2016-04-04,7,741,СЗ 5м/с,+4,743,СЗ 5м/с
2016-04-05,8,746,С 4м/с,+4,747,С 4м/с
2016-04-06,10,746,З 3м/с,+5,746,З 3м/с
2016-04-07,10,746,Ю 2м/с,+8,746,Ю 2м/с
2016-04-08,11,749,Ш,+6,749,Ш
2016-04-09,18,746,Ю 5м/с,+15,746,Ю 5м/с
2016-04-10,20,746,Ю 5м/с,+14,746,Ю 5м/с
2016-04-11,10,748,С 5м/с,+6,749,С 5м/с
2016-04-12,14,748,СВ 3м/с,+8,748,СВ 3м/с
2016-04-13,18,745,В 2м/с,+15,743,В 2м/с
2016-04-14,20,737,Ю 4м/с,+11,736,Ю 4м/с
2016-04-15,19,739,З 5м/с,+15,740,З 5м/с
2016-04-16,8,740,СЗ 2м/с,+2,743,СЗ 2м/с
