Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2019-01-01,-7,749,Ю 5м/с,-6,746,Ю 5м/с
2019-01-02,-4,744,Ю 5м/с,-4,745,Ю 5м/с
2019-01-03,-4,747,ЮВ 3м/с,-3,747,ЮВ 3м/с
2019-01-04,-1,745,ЮЗ 2м/с,-4,746,ЮЗ 2м/с
2019-01-05,-6,743,СЗ 1м/с,-10,743,СЗ 1м/с
2019-01-06,-8,751,Ш,-9,753,Ш
2019-01-07,-11,753,З 2м/с,-17,752,З 2м/с
2019-01-08,-12,746,ЮЗ 2м/с,-14,746,ЮЗ 2м/с
2019-01-09,-13,751,Ш,-11,752,Ш
2019-01-10,-7,752,Ю 2м/с,-9,751,Ю 2м/с
2019-01-11,-11,745,Ю 1м/с,-16,741,Ю 1м/с
2019-01-12,-15,734,ЮЗ 2м/с,-13,733,ЮЗ 2м/с
2019-01-13,-6,734,ЮЗ 1м/с,-6,734,ЮЗ 1м/с
2019-01-14,-3,731,Ю 5м/с,-3,732,Ю 5м/с
2019-01-15,-1,731,ЮЗ 3м/с,-4,734,ЮЗ 3м/с
2019-01-16,-8,734,З 1м/с,-8,737,З 1м/с
2019-01-17,-5,740,ЮЗ 5м/с,-5,737,ЮЗ 5м/с
2019-01-18,0,740,ЮЗ 4м/с,0,737,ЮЗ 4м/с
2019-01-19,-5,743,ЮЗ 2м/с,-7,745,ЮЗ 2м/с
2019-01-20,-5,746,ЮЗ 5м/с,-6,745,ЮЗ 5м/с
2019-01-21,-6,742,З 2м/с,-12,743,З 2м/с
2019-01-22,-13,749,СЗ 2м/с,-20,751,СЗ 2м/с
2019-01-23,-15,753,Ю 1м/с,-20,753,Ю 1м/с
2019-01-24,-13,746,СВ 1м/с,-21,747,СВ 1м/с
2019-01-25,-12,756,СЗ 2м/с,-19,758,СЗ 2м/с
2019-01-26,-10,747,ЮВ 5м/с,-10,746,ЮВ 5м/с
2019-01-27,-10,740,Ю 4м/с,-9,742,Ю 4м/с
2019-01-28,-6,745,СВ 2м/с,-5,746,СВ 2м/с
2019-01-30,-3,749,Ю 3м/с,-3,749,Ю 3м/с
2019-01-31,-1,749,Ю 2м/с,-4,749,Ю 2м/с
2019-02-01,-6,750,ЮВ 1м/с,-8,751,ЮВ 1м/с
2019-02-02,-6,752,Ю 1м/с,-6,753,Ю 1м/с
2019-02-03,-3,752,Ю 2м/с,-1,752,Ю 2м/с
2019-02-04,2,752,Ю 3м/с,+2,752,Ю 3м/с
2019-02-05,1,758,СЗ 3м/с,-1,758,СЗ 3м/с
2019-02-06,0,752,ЮВ 2м/с,0,749,ЮВ 2м/с
2019-02-07,-2,750,СЗ 3м/с,-3,752,СЗ 3м/с
2019-02-08,-1,754,ЮЗ 3м/с,-6,754,ЮЗ 3м/с
