Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
1998-01-01,0,748,ЮВ 3м/с,0,750,ЮВ 3м/с
1998-01-02,0,751,Ю 3м/с,0,750,Ю 3м/с
1998-01-03,-1,750,Ю 4м/с,-1,749,Ю 4м/с
1998-01-04,1,747,Ю 5м/с,+1,746,Ю 5м/с
1998-01-05,0,745,Ю 5м/с,-1,746,Ю 5м/с
1998-01-06,-3,746,Ю 3м/с,-3,745,Ю 3м/с
1998-01-07,-1,746,Ю 4м/с,-2,747,Ю 4м/с
1998-01-08,0,743,Ю 3м/с,0,741,Ю 3м/с
1998-01-09,-1,738,С 3м/с,-2,739,С 3м/с
1998-01-10,-4,746,С 5м/с,-6,750,С 5м/с
1998-01-11,-9,747,Ю 5м/с,-7,738,Ю 5м/с
1998-01-12,-1,741,СЗ 2м/с,-1,741,СЗ 2м/с
1998-01-13,-7,743,СВ 2м/с,-8,744,СВ 2м/с
1998-01-14,-12,752,СЗ 2м/с,-18,753,СЗ 2м/с
1998-01-15,-16,756,Ш,-17,756,Ш
1998-01-16,-7,753,Ю 2м/с,-5,751,Ю 2м/с
1998-01-17,-3,751,ЮВ 3м/с,-4,751,ЮВ 3м/с
1998-01-18,-8,752,Ю 5м/с,-9,751,Ю 5м/с
1998-01-19,-5,752,ЮВ 3м/с,-6,753,ЮВ 3м/с
1998-01-20,-6,756,ЮВ 4м/с,-9,757,ЮВ 4м/с
1998-01-21,-8,765,ЮВ 2м/с,-13,766,ЮВ 2м/с
1998-01-22,-9,768,ЮЗ 1м/с,-9,766,ЮЗ 1м/с
1998-01-23,-7,759,ЮЗ 3м/с,-10,757,ЮЗ 3м/с
1998-01-24,-6,752,ЮЗ 3м/с,-8,750,ЮЗ 3м/с
1998-01-25,-7,753,СЗ 4м/с,-14,754,СЗ 4м/с
1998-01-26,-3,753,З 2м/с,-5,752,З 2м/с
1998-01-27,-2,744,ЮЗ 4м/с,-2,743,ЮЗ 4м/с
1998-01-28,-5,736,ЮЗ 7м/с,-5,735,ЮЗ 7м/с
1998-01-29,-5,737,СЗ 2м/с,-10,739,СЗ 2м/с
1998-01-30,-14,743,З 1м/с,-19,743,З 1м/с
1998-01-31,-14,735,ЮВ 5м/с,-8,731,ЮВ 5м/с
1998-02-01,-12,736,З 3м/с,-15,740,З 3м/с
1998-02-02,-17,747,ЮЗ 2м/с,-14,747,ЮЗ 2м/с
1998-02-03,-9,748,Ю 4м/с,-11,746,Ю 4м/с
1998-02-04,-8,736,Ю 3м/с,-9,736,Ю 3м/с
1998-02-05,-9,744,Ю 2м/с,-7,741,Ю 2м/с
1998-02-06,-1,740,Ю 2м/с,-3,740,Ю 2м/с
1998-02-07,-12,747,С 4м/с,-16,750,С 4м/с
1998-02-08,-16,753,ЮЗ 2м/с,-15,751,ЮЗ 2м/с
1998-02-09,-7,747,ЮЗ 4м/с,-5,747,ЮЗ 4м/с
1998-02-10,0,746,Ю 3м/с,0,743,Ю 3м/с
1998-02-11,3,738,З 4м/с,+1,738,З 4м/с
1998-02-12,1,729,СЗ 3м/с,0,729,СЗ 3м/с
1998-02-13,-16,739,С 5м/с,-20,744,С 5м/с
1998-02-14,-16,744,СЗ 3м/с,-17,744,СЗ 3м/с
1998-02-15,-21,747,СЗ 3м/с,-22,750,СЗ 3м/с
1998-02-16,-11,737,ЮЗ 7м/с,-8,727,ЮЗ 7м/с
1998-02-17,-6,727,С 5м/с,-18,736,С 5м/с
1998-02-18,-17,750,З 3м/с,-20,749,З 3м/с
1998-02-19,2,731,З 5м/с,+2,732,З 5м/с
1998-02-20,0,742,СЗ 5м/с,-5,747,СЗ 5м/с
1998-02-21,3,750,ЮЗ 2м/с,+2,750,ЮЗ 2м/с
1998-02-22,1,746,ЮЗ 6м/с,+1,744,ЮЗ 6м/с
1998-02-23,4,747,ЮЗ 4м/с,0,747,ЮЗ 4м/с
1998-02-24,1,736,ЮЗ 5м/с,+1,735,ЮЗ 5м/с
1998-02-25,-11,747,С 7м/с,-15,752,С 7м/с
1998-02-26,-13,753,Ю 3м/с,-12,750,Ю 3м/с
1998-02-27,0,742,ЮЗ 4м/с,+1,741,ЮЗ 4м/с
1998-02-28,3,735,Ю 5м/с,+2,734,Ю 5м/с
1998-03-01,4,737,ЮЗ 6м/с,0,739,ЮЗ 6м/с
1998-03-02,0,741,ЮЗ 1м/с,-1,741,ЮЗ 1м/с
1998-03-03,0,737,З 2м/с,-4,739,З 2м/с
1998-03-04,0,744,Ю 5м/с,-1,741,Ю 5м/с
1998-03-05,3,746,Ю 5м/с,+3,732,Ю 5м/с
1998-03-06,1,737,СЗ 4м/с,-1,742,СЗ 4м/с
1998-03-07,-1,747,В 2м/с,-7,747,В 2м/с
1998-03-08,-2,745,ЮВ 4м/с,-2,743,ЮВ 4м/с
1998-03-09,2,742,Ю 5м/с,+2,743,Ю 5м/с
1998-03-10,2,747,Ю 4м/с,+1,748,Ю 4м/с
1998-03-11,1,745,Ю 3м/с,0,747,Ю 3м/с
1998-03-12,1,745,В 3м/с,+1,744,В 3м/с
1998-03-13,1,741,ЮВ 6м/с,-3,744,ЮВ 6м/с
1998-03-14,0,747,ЮВ 4м/с,-2,748,ЮВ 4м/с
1998-03-15,0,751,ЮВ 3м/с,-1,752,ЮВ 3м/с
1998-03-16,-3,755,В 4м/с,-6,756,В 4м/с
1998-03-17,-4,756,В 4м/с,-6,756,В 4м/с
1998-03-18,-6,753,В 2м/с,-6,751,В 2м/с
