Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2012-01-01,0,745,ЮЗ 2м/с,-3,746,ЮЗ 2м/с
2012-01-02,-1,746,С 3м/с,-1,748,С 3м/с
2012-01-03,-3,748,Ю 3м/с,-4,745,Ю 3м/с
2012-01-04,-1,743,ЮЗ 3м/с,+1,741,ЮЗ 3м/с
2012-01-05,1,737,ЮЗ 4м/с,+1,738,ЮЗ 4м/с
2012-01-06,2,738,Ю 5м/с,+1,740,Ю 5м/с
2012-01-07,1,742,Ю 3м/с,+1,745,Ю 3м/с
2012-01-08,0,747,ЮВ 4м/с,-1,747,ЮВ 4м/с
2012-01-09,-2,748,Ю 3м/с,-5,748,Ю 3м/с
2012-01-10,-9,748,ЮВ 1м/с,-9,749,ЮВ 1м/с
2012-01-11,-3,749,З 2м/с,-7,748,З 2м/с
2012-01-12,-2,741,ЮЗ 3м/с,-2,741,ЮЗ 3м/с
2012-01-13,0,733,Ю 7м/с,0,733,Ю 7м/с
2012-01-14,-3,739,Ш,-3,739,Ш
2012-01-15,-4,745,ЮВ 3м/с,-4,743,ЮВ 3м/с
2012-01-16,-6,748,В 1м/с,-8,750,В 1м/с
2012-01-17,-6,752,Ш,-8,754,Ш
2012-01-18,-8,757,С 2м/с,-9,757,С 2м/с
2012-01-19,-11,756,Ю 3м/с,-13,756,Ю 3м/с
2012-01-20,-14,754,ЮВ 4м/с,-13,754,ЮВ 4м/с
2012-01-21,-13,756,ЮВ 4м/с,-11,756,ЮВ 4м/с
2012-01-22,-15,756,ЮВ 4м/с,-16,756,ЮВ 4м/с
2012-01-23,-12,757,ЮВ 6м/с,-15,758,ЮВ 6м/с
2012-01-24,-13,761,В 3м/с,-15,761,В 3м/с
2012-01-25,-11,762,СВ 2м/с,-15,763,СВ 2м/с
2012-01-26,-11,768,СВ 2м/с,-14,769,СВ 2м/с
2012-01-27,-14,771,С 2м/с,-14,770,С 2м/с
2012-01-28,-12,768,С 3м/с,-13,767,С 3м/с
2012-01-29,-9,769,С 3м/с,-14,770,С 3м/с
2012-01-30,-15,770,С 2м/с,-16,770,С 2м/с
2012-01-31,-19,768,СВ 3м/с,-21,768,СВ 3м/с
2012-02-01,-20,766,СВ 2м/с,-20,766,СВ 2м/с
2012-02-02,-17,764,В 3м/с,-20,766,В 3м/с
2012-02-03,-19,772,ЮВ 2м/с,-21,773,ЮВ 2м/с
2012-02-04,-18,775,ЮВ 2м/с,-17,772,ЮВ 2м/с
2012-02-05,-12,769,ЮВ 2м/с,-15,769,ЮВ 2м/с
2012-02-07,-16,772,Ш,-18,770,Ш
2012-02-08,-16,763,С 3м/с,-18,762,С 3м/с
2012-02-09,-16,759,С 3м/с,-16,758,С 3м/с
2012-02-10,-15,758,С 3м/с,-18,760,С 3м/с
2012-02-11,-18,758,С 3м/с,-21,756,С 3м/с
2012-02-12,-18,754,ЮВ 4м/с,-18,753,ЮВ 4м/с
2012-02-13,-18,756,Ю 3м/с,-18,755,Ю 3м/с
2012-02-14,-16,753,В 3м/с,-13,747,В 3м/с
2012-02-15,-4,739,Ю 5м/с,-8,742,Ю 5м/с
2012-02-16,-12,747,В 3м/с,-10,749,В 3м/с
2012-02-17,-8,751,ЮВ 2м/с,-11,751,ЮВ 2м/с
2012-02-18,-10,754,Ю 4м/с,-12,756,Ю 4м/с
2012-02-19,-11,760,ЮВ 2м/с,-15,761,ЮВ 2м/с
2012-02-20,-9,761,Ю 4м/с,-11,759,Ю 4м/с
2012-02-21,-6,755,Ю 3м/с,-6,754,Ю 3м/с
2012-02-22,-4,748,ЮЗ 5м/с,-5,748,ЮЗ 5м/с
2012-02-23,-1,742,Ю 7м/с,-2,737,Ю 7м/с
2012-02-24,-2,733,Ю 5м/с,-2,733,Ю 5м/с
2012-02-25,-2,730,ЮВ 2м/с,-1,731,ЮВ 2м/с
2012-02-26,0,733,В 2м/с,-2,735,В 2м/с
2012-02-27,-3,740,С 2м/с,-3,743,С 2м/с
2012-02-28,-3,745,СЗ 2м/с,-5,744,СЗ 2м/с
2012-02-29,-2,743,С 3м/с,-3,745,С 3м/с
2012-03-01,-3,746,С 3м/с,-4,746,С 3м/с
2012-03-02,-4,743,С 2м/с,-11,742,С 2м/с
2012-03-03,-3,740,С 4м/с,-5,741,С 4м/с
2012-03-04,-2,741,С 3м/с,-3,742,С 3м/с
2012-03-05,-4,746,С 3м/с,-6,747,С 3м/с
2012-03-06,-4,746,С 5м/с,-6,748,С 5м/с
2012-03-07,-7,750,С 3м/с,-9,750,С 3м/с
2012-03-08,-8,752,З 3м/с,-11,754,З 3м/с
2012-03-09,-6,755,СЗ 4м/с,-4,754,СЗ 4м/с
2012-03-10,-3,755,З 2м/с,-8,753,З 2м/с
2012-03-11,-3,749,Ю 4м/с,-7,749,Ю 4м/с
2012-03-12,-3,740,Ю 7м/с,0,736,Ю 7м/с
2012-03-13,3,734,З 4м/с,0,731,З 4м/с
2012-03-14,1,732,С 4м/с,-3,734,С 4м/с
2012-03-15,-4,741,С 3м/с,-6,745,С 3м/с
2012-03-16,-4,749,СЗ 2м/с,-11,749,СЗ 2м/с
2012-03-17,2,745,З 3м/с,+1,744,З 3м/с
2012-03-18,3,742,СЗ 4м/с,+3,744,СЗ 4м/с
2012-03-19,3,746,Ю 2м/с,+2,743,Ю 2м/с
2012-03-20,1,737,ЮЗ 7м/с,+1,738,ЮЗ 7м/с
2012-03-21,0,741,С 3м/с,-1,744,С 3м/с
2012-03-22,3,748,СЗ 5м/с,-1,748,СЗ 5м/с
2012-03-23,-1,737,В 3м/с,-3,742,В 3м/с
2012-03-24,-3,749,С 3м/с,-6,750,С 3м/с
2012-03-25,-1,744,ЮВ 4м/с,-3,741,ЮВ 4м/с
2012-03-26,0,740,СВ 6м/с,-2,742,СВ 6м/с
2012-03-27,-1,739,СЗ 4м/с,-5,740,СЗ 4м/с
2012-03-28,0,742,З 3м/с,-4,740,З 3м/с
2012-03-29,2,734,Ю 6м/с,0,731,Ю 6м/с
2012-03-30,4,729,ЮЗ 5м/с,+2,732,ЮЗ 5м/с
2012-03-31,0,726,С 4м/с,0,729,С 4м/с
2012-04-01,0,726,СВ 3м/с,0,727,СВ 3м/с
2012-04-02,0,737,ЮЗ 4м/с,-2,736,ЮЗ 4м/с
2012-04-03,2,740,ЮЗ 6м/с,-1,743,ЮЗ 6м/с
2012-04-04,3,752,ЮЗ 3м/с,0,752,ЮЗ 3м/с
2012-04-05,0,743,С 3м/с,0,746,С 3м/с
2012-04-06,4,749,ЮВ 2м/с,-2,747,ЮВ 2м/с
2012-04-07,4,738,Ю 2м/с,+5,736,Ю 2м/с
2012-04-08,6,735,З 2м/с,+2,738,З 2м/с
2012-04-09,5,737,ЮВ 2м/с,+7,736,ЮВ 2м/с
2012-04-10,3,745,СВ 3м/с,+2,745,СВ 3м/с
2012-04-11,4,746,С 2м/с,+3,747,С 2м/с
2012-04-12,4,747,СВ 1м/с,+5,745,СВ 1м/с
2012-04-13,4,735,С 3м/с,+3,738,С 3м/с
2012-04-14,10,745,Ю 2м/с,+8,745,Ю 2м/с
2012-04-15,16,747,ЮВ 2м/с,+14,747,ЮВ 2м/с
2012-04-16,20,743,ЮВ 3м/с,+20,743,ЮВ 3м/с
2012-04-17,18,743,ЮЗ 4м/с,+14,742,ЮЗ 4м/с
2012-04-18,12,741,С 2м/с,+8,742,С 2м/с
2012-04-19,13,746,СВ 3м/с,+9,746,СВ 3м/с
2012-04-20,20,742,ЮВ 3м/с,+18,741,ЮВ 3м/с
2012-04-21,17,743,СЗ 1м/с,+12,742,СЗ 1м/с
2012-04-22,20,742,ЮЗ 3м/с,+13,743,ЮЗ 3м/с
2012-04-23,16,744,Ю 3м/с,+13,744,Ю 3м/с
2012-04-24,20,746,ЮЗ 4м/с,+15,746,ЮЗ 4м/с
2012-04-25,23,748,ЮЗ 4м/с,+16,749,ЮЗ 4м/с
2012-04-26,24,750,ЮЗ 4м/с,+19,749,ЮЗ 4м/с
2012-04-27,20,752,СЗ 3м/с,+15,752,СЗ 3м/с
2012-04-28,25,752,СЗ 3м/с,+21,751,СЗ 3м/с
2012-04-29,29,746,З 6м/с,+15,745,З 6м/с
2012-04-30,13,749,С 3м/с,+10,750,С 3м/с
2012-05-01,18,742,З 4м/с,+10,742,З 4м/с
2012-05-02,13,747,СЗ 3м/с,+7,745,СЗ 3м/с
2012-05-03,19,740,З 5м/с,+14,739,З 5м/с
2012-05-04,17,743,С 3м/с,+12,745,С 3м/с
2012-05-05,24,743,Ю 6м/с,+19,741,Ю 6м/с
2012-05-06,22,746,С 2м/с,+19,746,С 2м/с
2012-05-07,25,747,З 2м/с,+14,748,З 2м/с
2012-05-08,24,749,Ю 2м/с,+18,749,Ю 2м/с
2012-05-09,25,751,Ю 4м/с,+15,752,Ю 4м/с
2012-05-10,13,757,С 2м/с,+11,757,С 2м/с
2012-05-11,20,755,ЮЗ 3м/с,+17,752,ЮЗ 3м/с
2012-05-12,26,747,ЮЗ 3м/с,+21,744,ЮЗ 3м/с
2012-05-13,14,747,С 3м/с,+11,748,С 3м/с
2012-05-14,15,750,СВ 3м/с,+12,751,СВ 3м/с
2012-05-15,21,750,В 3м/с,+20,750,В 3м/с
2012-05-16,24,751,ЮВ 3м/с,+19,750,ЮВ 3м/с
2012-05-17,24,749,В 3м/с,+19,749,В 3м/с
2012-05-18,24,751,Ю 3м/с,+17,752,Ю 3м/с
2012-05-19,27,755,Ю 3м/с,+18,754,Ю 3м/с
2012-05-20,27,755,ЮВ 3м/с,+17,754,ЮВ 3м/с
2012-05-21,27,752,ЮВ 2м/с,+18,751,ЮВ 2м/с
2012-05-22,27,749,Ш,+18,748,Ш
2012-05-23,20,746,СВ 5м/с,+13,749,СВ 5м/с
2012-05-24,15,753,СВ 4м/с,+11,754,СВ 4м/с
2012-05-25,16,752,СВ 5м/с,+13,751,СВ 5м/с
2012-05-26,18,747,СВ 3м/с,+12,746,СВ 3м/с
2012-05-27,19,745,СВ 4м/с,+14,745,СВ 4м/с
2012-05-28,20,742,З 2м/с,+16,742,З 2м/с
2012-05-29,24,743,З 3м/с,+19,743,З 3м/с
2012-05-30,18,743,ЮВ 3м/с,+15,742,ЮВ 3м/с
2012-05-31,13,743,З 2м/с,+11,744,З 2м/с
2012-06-01,17,747,Ш,+10,747,Ш
2012-06-02,20,744,ЮВ 5м/с,+15,742,ЮВ 5м/с
2012-06-03,14,743,З 6м/с,+9,743,З 6м/с
2012-06-04,17,745,ЮЗ 3м/с,+12,745,ЮЗ 3м/с
2012-06-05,19,746,СЗ 1м/с,+14,746,СЗ 1м/с
2012-06-06,26,742,Ю 3м/с,+16,742,Ю 3м/с
2012-06-07,25,739,В 2м/с,+17,738,В 2м/с
2012-06-08,16,737,ЮЗ 6м/с,+13,737,ЮЗ 6м/с
2012-06-09,19,744,З 5м/с,+16,746,З 5м/с
2012-06-10,23,744,Ю 2м/с,+18,744,Ю 2м/с
2012-06-11,22,745,Ю 1м/с,+20,744,Ю 1м/с
2012-06-12,28,741,Ю 3м/с,+24,739,Ю 3м/с
2012-06-13,26,742,ЮЗ 1м/с,+21,741,ЮЗ 1м/с
2012-06-14,26,746,З 4м/с,+21,747,З 4м/с
2012-06-15,26,747,В 2м/с,+22,746,В 2м/с
2012-06-16,20,744,СЗ 1м/с,+18,744,СЗ 1м/с
2012-06-17,23,747,С 4м/с,+20,747,С 4м/с
2012-06-18,23,749,СЗ 4м/с,+19,749,СЗ 4м/с
2012-06-19,24,749,З 3м/с,+19,747,З 3м/с
2012-06-20,25,745,СЗ 3м/с,+20,745,СЗ 3м/с
2012-06-21,23,748,С 3м/с,+19,748,С 3м/с
2012-06-22,23,749,С 3м/с,+18,749,С 3м/с
2012-06-23,23,749,С 1м/с,+18,748,С 1м/с
2012-06-24,23,746,В 1м/с,+18,748,В 1м/с
2012-06-25,23,748,З 1м/с,+17,747,З 1м/с
2012-06-26,26,743,Ю 4м/с,+25,739,Ю 4м/с
2012-06-27,21,742,ЮЗ 3м/с,+15,742,ЮЗ 3м/с
2012-06-28,22,743,З 2м/с,+14,744,З 2м/с
2012-06-29,20,744,СВ 1м/с,+15,746,СВ 1м/с
2012-06-30,20,748,СЗ 3м/с,+15,749,СЗ 3м/с
2012-07-01,23,752,З 3м/с,+16,752,З 3м/с
2012-07-02,24,750,З 2м/с,+18,749,З 2м/с
2012-07-03,27,747,С 3м/с,+25,747,С 3м/с
2012-07-04,27,746,СВ 2м/с,+23,747,СВ 2м/с
2012-07-05,28,749,С 2м/с,+24,749,С 2м/с
2012-07-06,28,749,С 2м/с,+22,749,С 2м/с
2012-07-07,25,748,СВ 3м/с,+21,748,СВ 3м/с
2012-07-08,25,749,В 2м/с,+19,748,В 2м/с
2012-07-09,27,747,Ю 3м/с,+22,746,Ю 3м/с
2012-07-10,31,746,Ю 4м/с,+24,746,Ю 4м/с
2012-07-11,31,747,ЮЗ 3м/с,+22,746,ЮЗ 3м/с
2012-07-12,30,744,ЮВ 3м/с,+26,743,ЮВ 3м/с
2012-07-13,27,741,Ю 4м/с,+22,743,Ю 4м/с
2012-07-14,25,746,С 8м/с,+18,746,С 8м/с
2012-07-15,28,744,Ю 4м/с,+23,743,Ю 4м/с
2012-07-16,24,744,З 3м/с,+20,744,З 3м/с
2012-07-17,21,742,С 3м/с,+17,742,С 3м/с
2012-07-18,22,742,З 4м/с,+17,742,З 4м/с
2012-07-19,14,742,З 3м/с,+13,742,З 3м/с
2012-07-20,23,739,ЮЗ 6м/с,+19,739,ЮЗ 6м/с
2012-07-21,21,745,З 4м/с,+17,747,З 4м/с
2012-07-22,24,751,Ю 2м/с,+20,751,Ю 2м/с
2012-07-23,23,754,СЗ 2м/с,+17,753,СЗ 2м/с
2012-07-24,24,753,З 3м/с,+21,752,З 3м/с
2012-07-25,25,753,СЗ 2м/с,+21,752,СЗ 2м/с
2012-07-26,29,750,ЮВ 1м/с,+22,748,ЮВ 1м/с
2012-07-27,28,747,СЗ 2м/с,+20,748,СЗ 2м/с
2012-07-28,27,750,В 2м/с,+20,751,В 2м/с
2012-07-29,27,753,В 2м/с,+18,753,В 2м/с
2012-07-30,29,752,ЮЗ 2м/с,+20,750,ЮЗ 2м/с
2012-07-31,29,749,З 2м/с,+20,749,З 2м/с
2012-08-01,32,749,З 1м/с,+22,748,З 1м/с
2012-08-02,30,751,СВ 3м/с,+24,751,СВ 3м/с
2012-08-03,27,751,В 2м/с,+23,750,В 2м/с
2012-08-04,28,748,СЗ 1м/с,+22,746,СЗ 1м/с
2012-08-05,27,746,ЮВ 1м/с,+23,747,ЮВ 1м/с
2012-08-06,28,749,СВ 1м/с,+22,749,СВ 1м/с
2012-08-07,32,747,ЮЗ 3м/с,+27,745,ЮЗ 3м/с
2012-08-08,25,747,З 2м/с,+19,746,З 2м/с
2012-08-09,25,747,СЗ 2м/с,+19,746,СЗ 2м/с
2012-08-10,23,746,С 1м/с,+18,746,С 1м/с
2012-08-11,15,747,СВ 2м/с,+13,748,СВ 2м/с
2012-08-12,24,749,Ш,+16,749,Ш
2012-08-13,26,748,СВ 3м/с,+21,747,СВ 3м/с
2012-08-14,24,745,В 2м/с,+19,746,В 2м/с
2012-08-15,26,745,В 2м/с,+19,745,В 2м/с
2012-08-16,23,743,СВ 2м/с,+15,744,СВ 2м/с
2012-08-17,25,744,Ю 2м/с,+17,744,Ю 2м/с
2012-08-18,20,743,С 2м/с,+17,744,С 2м/с
2012-08-19,19,746,С 1м/с,+15,746,С 1м/с
2012-08-20,19,740,ЮЗ 3м/с,+17,738,ЮЗ 3м/с
2012-08-21,9,744,С 5м/с,+9,746,С 5м/с
2012-08-22,19,744,С 3м/с,+10,745,С 3м/с
2012-08-23,20,741,З 4м/с,+16,741,З 4м/с
2012-08-24,19,743,СЗ 5м/с,+15,744,СЗ 5м/с
2012-08-25,21,743,СЗ 1м/с,+16,743,СЗ 1м/с
2012-08-26,17,744,С 1м/с,+13,746,С 1м/с
2012-08-27,21,746,Ю 2м/с,+16,745,Ю 2м/с
2012-08-28,19,741,С 1м/с,+17,741,С 1м/с
2012-08-29,17,741,СВ 1м/с,+16,741,СВ 1м/с
2012-08-30,14,744,С 5м/с,+13,747,С 5м/с
2012-08-31,15,750,С 3м/с,+11,737,С 3м/с
2012-09-03,19,750,СЗ 1м/с,+12,749,СЗ 1м/с
2012-09-04,18,746,З 1м/с,+11,744,З 1м/с
2012-09-05,19,746,СЗ 2м/с,+10,746,СЗ 2м/с
2012-09-06,20,744,З 1м/с,+15,743,З 1м/с
2012-09-07,16,741,З 3м/с,+9,741,З 3м/с
2012-09-08,17,740,З 4м/с,+8,740,З 4м/с
2012-09-09,8,734,СЗ 3м/с,+8,739,СЗ 3м/с
2012-09-10,12,748,З 4м/с,+9,749,З 4м/с
2012-09-11,16,750,З 3м/с,+9,749,З 3м/с
2012-09-12,23,745,З 4м/с,+16,746,З 4м/с
2012-09-13,23,747,ЮЗ 3м/с,+12,746,ЮЗ 3м/с
2012-09-14,25,747,Ю 4м/с,+17,746,Ю 4м/с
2012-09-15,21,743,З 1м/с,+18,742,З 1м/с
2012-09-16,18,743,СЗ 3м/с,+10,746,СЗ 3м/с
2012-09-17,19,751,СЗ 2м/с,+9,751,СЗ 2м/с
2012-09-18,19,753,СЗ 1м/с,+10,752,СЗ 1м/с
2012-09-19,20,752,ЮВ 3м/с,+14,751,ЮВ 3м/с
2012-09-20,22,751,Ю 4м/с,+14,751,Ю 4м/с
2012-09-21,21,751,ЮВ 2м/с,+13,750,ЮВ 2м/с
2012-09-22,21,749,Ю 3м/с,+17,748,Ю 3м/с
2012-09-23,17,742,Ю 3м/с,+12,741,Ю 3м/с
2012-09-24,13,739,ЮЗ 4м/с,+9,738,ЮЗ 4м/с
2012-09-25,13,741,З 4м/с,+10,743,З 4м/с
2012-09-26,15,748,З 3м/с,+7,749,З 3м/с
2012-09-27,16,753,Ю 2м/с,+13,752,Ю 2м/с
2012-09-28,24,748,Ю 5м/с,+20,744,Ю 5м/с
2012-09-29,16,750,З 3м/с,+6,751,З 3м/с
