Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2020-01-01,-2,742,С 5м/с,-6,746,С 5м/с
2020-01-02,-1,743,ЮЗ 3м/с,0,744,ЮЗ 3м/с
2020-01-03,1,746,ЮЗ 5м/с,-1,745,ЮЗ 5м/с
2020-01-04,-1,738,ЮЗ 5м/с,-1,737,ЮЗ 5м/с
2020-01-05,1,746,З 1м/с,-5,749,З 1м/с
2020-01-06,0,755,З 1м/с,-3,755,З 1м/с
2020-01-07,-2,755,ЮЗ 2м/с,-2,755,ЮЗ 2м/с
2020-01-08,0,753,ЮЗ 3м/с,0,752,ЮЗ 3м/с
2020-01-09,-1,745,ЮЗ 3м/с,+1,746,ЮЗ 3м/с
2020-01-10,0,748,ЮЗ 2м/с,0,748,ЮЗ 2м/с
2020-01-11,-2,745,В 2м/с,-2,747,В 2м/с
2020-01-12,-4,748,Ю 3м/с,-2,744,Ю 3м/с
2020-01-13,2,742,З 3м/с,+1,745,З 3м/с
2020-01-14,0,751,З 2м/с,0,752,З 2м/с
2020-01-15,1,755,ЮЗ 5м/с,+1,753,ЮЗ 5м/с
2020-01-16,1,750,ЮЗ 5м/с,+1,751,ЮЗ 5м/с
2020-01-17,3,755,З 1м/с,+2,756,З 1м/с
2020-01-18,1,755,ЮЗ 2м/с,-2,755,ЮЗ 2м/с
2020-01-19,-1,756,З 2м/с,-2,757,З 2м/с
2020-01-20,2,754,З 3м/с,+1,753,З 3м/с
2020-01-21,1,741,З 3м/с,+2,736,З 3м/с
2020-01-22,1,733,З 4м/с,-1,732,З 4м/с
2020-01-23,-5,740,СЗ 3м/с,-7,743,СЗ 3м/с
2020-01-24,-3,739,ЮЗ 4м/с,0,736,ЮЗ 4м/с
2020-01-25,2,734,З 3м/с,0,734,З 3м/с
2020-01-26,0,744,З 4м/с,-1,743,З 4м/с
2020-01-27,0,746,С 3м/с,-3,749,С 3м/с
2020-01-28,-3,746,ЮВ 3м/с,-2,745,ЮВ 3м/с
2020-01-29,0,743,ЮВ 2м/с,0,742,ЮВ 2м/с
2020-01-30,1,734,Ю 4м/с,+1,734,Ю 4м/с
2020-01-31,1,737,ЮЗ 1м/с,-1,738,ЮЗ 1м/с
2020-02-01,0,740,В 1м/с,0,740,В 1м/с
2020-02-02,1,732,Ю 5м/с,+2,728,Ю 5м/с
2020-02-03,2,725,З 4м/с,+1,726,З 4м/с
2020-02-04,-1,730,ЮЗ 3м/с,-2,732,ЮЗ 3м/с
2020-02-05,-3,741,СЗ 4м/с,-8,744,СЗ 4м/с
2020-02-07,-8,741,СЗ 4м/с,-9,745,СЗ 4м/с
2020-02-08,-9,751,СЗ 2м/с,-15,753,СЗ 2м/с
2020-02-09,-4,753,ЮЗ 4м/с,-3,751,ЮЗ 4м/с
2020-02-10,-2,743,Ю 7м/с,-4,740,Ю 7м/с
2020-02-11,-1,734,Ю 7м/с,+1,735,Ю 7м/с
2020-02-12,-4,738,ЮВ 4м/с,-4,740,ЮВ 4м/с
2020-02-13,-4,742,Ш,-7,744,Ш
2020-02-14,1,749,ЮЗ 2м/с,0,752,ЮЗ 2м/с
2020-02-15,3,756,ЮЗ 2м/с,-4,758,ЮЗ 2м/с
2020-02-16,0,757,ЮЗ 4м/с,+2,754,ЮЗ 4м/с
2020-02-17,3,746,Ю 7м/с,+3,746,Ю 7м/с
2020-02-18,2,746,Ю 3м/с,+1,744,Ю 3м/с
2020-02-19,4,744,З 3м/с,+2,746,З 3м/с
2020-02-20,5,751,ЮЗ 2м/с,+1,752,ЮЗ 2м/с
2020-02-21,6,753,Ю 2м/с,0,754,Ю 2м/с
2020-02-22,5,755,Ю 4м/с,0,752,Ю 4м/с
2020-02-23,0,735,ЮЗ 6м/с,+1,734,ЮЗ 6м/с
2020-02-24,3,734,Ю 3м/с,-1,734,Ю 3м/с
2020-02-25,3,736,СЗ 4м/с,-2,738,СЗ 4м/с
2020-02-26,0,734,Ю 5м/с,+1,734,Ю 5м/с
2020-02-27,2,734,Ю 4м/с,+2,733,Ю 4м/с
2020-02-28,2,736,З 1м/с,0,737,З 1м/с
2020-02-29,3,741,З 4м/с,0,743,З 4м/с
