Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2005-01-01,0,749,З 3м/с,-3,750,З 3м/с
2005-01-02,-1,744,ЮВ 1м/с,0,743,ЮВ 1м/с
2005-01-03,0,739,Ю 4м/с,0,739,Ю 4м/с
2005-01-04,0,741,Ю 3м/с,-1,741,Ю 3м/с
2005-01-05,-1,742,Ю 3м/с,-2,739,Ю 3м/с
2005-01-06,0,736,Ю 3м/с,-1,739,Ю 3м/с
2005-01-07,0,744,ЮЗ 2м/с,0,744,ЮЗ 2м/с
2005-01-08,4,736,ЮЗ 3м/с,+3,737,ЮЗ 3м/с
2005-01-09,4,732,ЮЗ 5м/с,+3,732,ЮЗ 5м/с
2005-01-10,1,735,З 5м/с,0,741,З 5м/с
2005-01-11,1,738,ЮЗ 2м/с,+3,738,ЮЗ 2м/с
2005-01-12,3,746,СЗ 3м/с,-1,748,СЗ 3м/с
2005-01-13,3,747,ЮЗ 3м/с,+2,747,ЮЗ 3м/с
2005-01-14,2,747,Ю 2м/с,+1,747,Ю 2м/с
2005-01-15,0,747,Ш,0,747,Ш
2005-01-16,-3,753,З 2м/с,-8,755,З 2м/с
2005-01-17,-2,752,ЮЗ 3м/с,-2,752,ЮЗ 3м/с
2005-01-18,-2,750,ЮЗ 1м/с,-6,750,ЮЗ 1м/с
2005-01-19,-3,752,Ю 2м/с,-9,753,Ю 2м/с
2005-01-20,-3,749,Ю 4м/с,-4,747,Ю 4м/с
2005-01-21,0,737,ЮВ 7м/с,+1,735,ЮВ 7м/с
2005-01-22,1,735,ЮВ 7м/с,0,736,ЮВ 7м/с
2005-01-23,-2,741,ЮВ 3м/с,-5,741,ЮВ 3м/с
2005-01-24,-6,748,ЮВ 2м/с,-7,751,ЮВ 2м/с
2005-01-25,-10,757,В 3м/с,-11,759,В 3м/с
2005-01-26,-14,762,ЮВ 2м/с,-17,762,ЮВ 2м/с
2005-01-27,-12,756,В 6м/с,-10,753,В 6м/с
2005-01-28,-11,755,ЮВ 6м/с,-11,756,ЮВ 6м/с
2005-01-29,-12,758,ЮВ 4м/с,-11,757,ЮВ 4м/с
2005-01-30,-11,754,ЮВ 3м/с,-11,754,ЮВ 3м/с
2005-01-31,-9,747,ЮВ 5м/с,-8,746,ЮВ 5м/с
2005-02-01,-8,750,ЮВ 6м/с,-9,751,ЮВ 6м/с
2005-02-02,-10,756,ЮВ 3м/с,-12,759,ЮВ 3м/с
2005-02-03,-12,765,В 2м/с,-12,765,В 2м/с
2005-02-04,-10,766,СЗ 1м/с,-15,766,СЗ 1м/с
