Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2009-01-01,-5,739,ЮЗ 2м/с,-5,739,ЮЗ 2м/с
2009-01-02,-10,742,З 3м/с,-15,742,З 3м/с
2009-01-03,-13,743,ЮЗ 2м/с,-19,743,ЮЗ 2м/с
2009-01-04,-12,740,СЗ 1м/с,-18,742,СЗ 1м/с
2009-01-05,-17,746,ЮЗ 1м/с,-20,748,ЮЗ 1м/с
2009-01-06,-14,748,ЮЗ 3м/с,-14,746,ЮЗ 3м/с
2009-01-07,-12,744,ЮЗ 7м/с,-15,745,ЮЗ 7м/с
2009-01-08,-12,744,Ю 3м/с,-14,744,Ю 3м/с
2009-01-09,-13,742,Ю 2м/с,-11,740,Ю 2м/с
2009-01-10,-13,749,С 3м/с,-17,753,С 3м/с
2009-01-11,-9,750,ЮЗ 2м/с,-7,750,ЮЗ 2м/с
2009-01-12,0,744,З 3м/с,0,744,З 3м/с
2009-01-13,1,746,ЮЗ 4м/с,-5,746,ЮЗ 4м/с
2009-01-14,-3,748,ЮЗ 2м/с,-2,749,ЮЗ 2м/с
2009-01-15,-3,748,Ю 2м/с,-2,744,Ю 2м/с
2009-01-16,-2,746,ЮЗ 2м/с,-2,748,ЮЗ 2м/с
2009-01-17,-3,754,В 4м/с,-3,754,В 4м/с
2009-01-18,-5,750,В 3м/с,-6,747,В 3м/с
2009-01-19,-3,745,Ю 2м/с,-6,744,Ю 2м/с
2009-01-20,-7,749,З 2м/с,-12,751,З 2м/с
2009-01-21,-6,756,Ю 2м/с,-7,757,Ю 2м/с
2009-01-22,-1,754,Ю 6м/с,-1,752,Ю 6м/с
2009-01-23,-2,745,Ю 6м/с,-3,744,Ю 6м/с
2009-01-24,-2,742,ЮВ 3м/с,0,742,ЮВ 3м/с
2009-01-25,1,745,ЮВ 4м/с,+1,746,ЮВ 4м/с
2009-01-26,-6,747,ЮВ 3м/с,-5,747,ЮВ 3м/с
2009-01-27,-2,749,Ю 2м/с,-4,750,Ю 2м/с
2009-01-28,-2,750,ЮВ 2м/с,-2,749,ЮВ 2м/с
2009-01-29,1,746,З 2м/с,-1,745,З 2м/с
2009-01-30,-2,748,СЗ 2м/с,-5,749,СЗ 2м/с
2009-01-31,-12,754,С 4м/с,-16,755,С 4м/с
2009-02-01,-16,756,С 2м/с,-19,757,С 2м/с
2009-02-02,-17,757,ЮЗ 2м/с,-18,756,ЮЗ 2м/с
2009-02-03,-7,753,З 3м/с,-12,753,З 3м/с
2009-02-04,-8,745,Ю 3м/с,-5,740,Ю 3м/с
2009-02-05,-6,741,С 2м/с,-11,742,С 2м/с
2009-02-06,-11,744,В 3м/с,-10,744,В 3м/с
2009-02-07,-2,743,Ю 3м/с,-1,744,Ю 3м/с
2009-02-08,1,745,Ю 3м/с,+1,746,Ю 3м/с
