Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2015-01-01,-3,744,З 2м/с,-2,743,З 2м/с
2015-01-02,1,737,З 3м/с,+1,733,З 3м/с
2015-01-03,2,728,З 3м/с,0,728,З 3м/с
2015-01-04,0,725,ЮЗ 4м/с,-1,726,ЮЗ 4м/с
2015-01-05,-7,733,С 2м/с,-11,736,С 2м/с
2015-01-06,-17,747,С 3м/с,-20,751,С 3м/с
2015-01-07,-19,758,С 3м/с,-21,759,С 3м/с
2015-01-08,-11,754,З 3м/с,-11,749,З 3м/с
2015-01-09,-9,737,ЮЗ 4м/с,-11,732,ЮЗ 4м/с
2015-01-10,1,732,ЮЗ 4м/с,-2,733,ЮЗ 4м/с
2015-01-11,0,722,Ю 4м/с,+1,725,Ю 4м/с
2015-01-12,1,730,ЮЗ 4м/с,-2,733,ЮЗ 4м/с
2015-01-13,2,734,З 5м/с,+3,738,З 5м/с
2015-01-14,3,741,З 3м/с,+2,743,З 3м/с
2015-01-15,2,745,ЮЗ 1м/с,+1,747,ЮЗ 1м/с
2015-01-16,2,753,СЗ 2м/с,-3,754,СЗ 2м/с
2015-01-17,-1,751,ЮЗ 5м/с,-2,750,ЮЗ 5м/с
2015-01-18,1,748,З 2м/с,0,748,З 2м/с
2015-01-19,0,750,З 1м/с,-4,751,З 1м/с
2015-01-20,-1,756,СВ 2м/с,-5,758,СВ 2м/с
2015-01-21,-6,760,С 2м/с,-12,760,С 2м/с
2015-01-22,-7,760,Ш,-14,761,Ш
2015-01-23,-9,760,Ю 3м/с,-9,760,Ю 3м/с
2015-01-24,-6,757,ЮЗ 5м/с,-8,759,ЮЗ 5м/с
2015-01-25,-11,762,Ю 4м/с,-13,760,Ю 4м/с
2015-01-26,-11,755,Ю 3м/с,-10,755,Ю 3м/с
2015-01-27,-9,751,Ю 3м/с,-9,750,Ю 3м/с
2015-01-28,-6,747,Ю 1м/с,-5,746,Ю 1м/с
2015-01-29,-4,744,Ю 4м/с,-3,744,Ю 4м/с
2015-01-30,-6,744,Ю 4м/с,-7,743,Ю 4м/с
2015-01-31,0,740,Ю 4м/с,0,738,Ю 4м/с
2015-02-01,2,737,ЮЗ 5м/с,+1,737,ЮЗ 5м/с
2015-02-02,0,732,С 4м/с,-7,739,С 4м/с
2015-02-03,0,733,ЮВ 1м/с,-2,736,ЮВ 1м/с
2015-02-04,-3,741,С 3м/с,-4,743,С 3м/с
2015-02-05,-4,750,СЗ 3м/с,-6,752,СЗ 3м/с
2015-02-06,-9,751,СЗ 2м/с,-11,748,СЗ 2м/с
2015-02-07,-5,737,З 2м/с,-5,734,З 2м/с
2015-02-08,-2,727,ЮЗ 4м/с,-1,728,ЮЗ 4м/с
2015-02-09,-3,734,З 3м/с,-7,739,З 3м/с
2015-02-10,-7,750,З 1м/с,-13,751,З 1м/с
2015-02-11,-4,751,З 4м/с,-4,752,З 4м/с
2015-02-12,-2,752,ЮЗ 2м/с,-4,751,ЮЗ 2м/с
2015-02-13,0,754,С 2м/с,-1,755,С 2м/с
2015-02-14,-3,754,ЮЗ 3м/с,-5,753,ЮЗ 3м/с
2015-02-15,-2,747,СЗ 3м/с,-5,749,СЗ 3м/с
2015-02-16,-5,762,СВ 4м/с,-6,763,СВ 4м/с
2015-02-17,-5,764,С 2м/с,-11,764,С 2м/с
2015-02-18,-4,756,ЮЗ 3м/с,-7,750,ЮЗ 3м/с
2015-02-19,-2,749,С 2м/с,-4,750,С 2м/с
2015-02-20,1,745,З 5м/с,+1,745,З 5м/с
2015-02-21,3,746,ЮЗ 2м/с,-1,748,ЮЗ 2м/с
